Specimen,Spike 1,Spike 2,Spike 3,Spike 4,Spike 5,Spike 6,Spike 7
B255,16,13,9,8,6,4,2
B323,14,11,9,7,6,4,2
B325,13,11,10,7,5,3,2
G652,16,13,12,8,5,3,2
G664,23,20,14,11,7,2,1
G668,17,14,9,8,6,4,2
G691,18,14,12,8,6,3,1
G717,25,21,13,10,8,7,5
G719,19,17,12,11,10,7,3
G723,20,15,12,9,7,4,1
G728,20,15,14,12,8,4,2
G730,13,11,8,5,4,3,1
G732,20,17,14,10,7,5,3
G737,18,15,12,11,8,5,2
G753,16,14,11,7,3,2,1
G767,16,13,10,6,4,3,1
G770,13,12,9,8,7,5,2
G779,16,13,11,9,7,4,2
G781,13,11,10,9,6,5,2
