Specimen,Spike 1,Spike 2,Spike 3,Spike 4,Spike 5,Spike 6,Spike 7
B255,16,13,10,7,5,4,2
B323,14,13,11,7,6,4,2
B325,12,11,10,7,5,3,2
G652,23,16,13,12,8,5,3
G664,24,23,14,11,7,5,2
G668,18,14,10,8,6,4,2
G691,18,13,8,6,5,3,2
G717,21,16,13,10,8,7,5
G719,17,15,12,11,10,7,5
G723,20,16,12,9,7,4,1
G728,22,20,15,12,8,6,2
G730,16,13,11,9,5,4,3
G732,23,17,14,10,7,5,3
G737,18,15,12,8,5,2,1
G753,18,16,14,11,6,3,2
G767,19,12,9,6,4,3,1
G770,18,15,12,9,8,7,5
G779,22,16,15,11,9,7,4
G781,16,13,11,10,9,6,2
