Specimen,Spike 1,Spike 2,Spike 3,Spike 4,Spike 5,Spike 6,Spike 7
B255,16,9,8,7,5,4,2
B323,14,13,12,9,6,4,2
B325,12,11,10,7,5,3,2
G652,23,21,16,13,10,8,4
G664,24,21,17,14,11,7,4
G668,20,18,14,9,8,4,2
G691,17,13,11,8,6,5,1
G717,26,21,16,15,8,7,4
G719,18,17,12,10,7,6,2
G723,20,15,12,9,7,5,2
G728,22,20,15,12,9,4,2
G730,16,13,11,8,4,3,2
G732,24,23,17,14,10,7,3
G737,18,15,12,11,8,5,2
G753,18,16,14,11,6,3,1
G767,19,12,9,6,4,3,1
G770,18,14,12,8,7,6,1
G779,21,16,13,11,9,5,2
G781,18,15,11,10,9,5,2
