depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peak,timing_info,timing_info_centered,interval_growth_rate,interval_growth_rate_centered,interval_total_growth,interval_total_growth_centered,interval_total_time_days
0.428265,0.015103122,62.44156,67208.0025,62838.4717,8302.756515,228.405504,1.161988798,0.251221179,0.015103122,0.0,interval 0,2022-10-25 10:00:00,2022-10-25 10:00:00,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
0.85653,0.021345916,62.55071,67207.70882,62838.15999,7852.465674,236.0540548,2.463450743,0.28340103,0.021345916,0.0,interval 0,2022-10-25 09:33:02,2022-10-25 09:35:15,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
1.284796,0.015103122,62.65986,67207.41514,62837.84828,8302.756515,220.3075881,0.929589179,0.251221179,0.015103122,0.0,interval 0,2022-10-25 09:06:04,2022-10-25 09:10:31,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
1.7130610000000002,0.027043094,62.76899,67207.12145,62837.53658,7752.403245,245.057532,1.498033372,0.319428947,0.027043094,0.0,interval 0,2022-10-25 08:39:07,2022-10-25 08:45:46,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
2.141326,0.005336415,62.87812,67206.82777,62837.22487,7852.465674,244.5358757,1.724405174,0.280957356,0.005336415,0.0,interval 0,2022-10-25 08:12:09,2022-10-25 08:21:01,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
2.569591,0.004793145,62.98734,67206.53409,62836.91316,8703.028654,218.4877525,1.991390719,0.210653291,0.004793145,0.0,interval 0,2022-10-25 07:45:11,2022-10-25 07:56:16,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
2.997856,0.010672873,63.09649,67206.24041,62836.60145,7852.465674,240.2572512,0.985368473,0.276070036,0.010672873,0.0,interval 0,2022-10-25 07:18:13,2022-10-25 07:31:32,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
3.426121,0.031836839,63.20564,67205.94673,62836.28974,9153.350126,205.3082807,1.889545688,0.235283324,0.031836839,0.0,interval 0,2022-10-25 06:51:15,2022-10-25 07:06:47,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
3.854387,0.043741745,63.31479,67205.65304,62835.97804,9503.611372,199.4994144,1.615336495,0.250318034,0.043741745,0.0,interval 0,2022-10-25 06:24:18,2022-10-25 06:42:02,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
4.282652,0.064779811,63.42398,67205.35936,62835.66633,9003.241167,207.663974,1.495129375,0.241482691,0.064779811,0.0,interval 0,2022-10-25 05:57:20,2022-10-25 06:17:18,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
4.710917,0.102193414,63.53313,67205.06568,62835.35462,9753.803984,192.315222,1.375819396,0.243659517,0.102193414,0.0,interval 0,2022-10-25 05:30:22,2022-10-25 05:52:33,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
5.139182,0.092180386,63.64227,67204.772,62835.04291,8602.959418,222.9198806,1.791579905,0.228756486,0.092180386,0.0,interval 0,2022-10-25 05:03:24,2022-10-25 05:27:48,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
5.567447,0.072772537,63.75141,67204.47832,62834.7312,9153.350126,208.8032876,1.889545688,0.266523621,0.072772537,0.0,interval 0,2022-10-25 04:36:26,2022-10-25 05:03:03,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
5.995712,0.084263935,63.86055,67204.18463,62834.41949,8903.169528,208.1870116,1.728710343,0.270030466,0.084263935,0.0,interval 0,2022-10-25 04:09:29,2022-10-25 04:38:19,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
6.423978,0.021065033,63.96975,67203.89095,62834.10779,7952.528904,238.537953,1.944820304,0.253145683,0.021065033,0.0,interval 0,2022-10-25 03:42:31,2022-10-25 04:13:34,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
6.852243,0.037860635,64.07889,67203.59727,62833.79608,7752.403245,249.142347,1.248358646,0.307044909,0.037860635,0.0,interval 0,2022-10-25 03:15:33,2022-10-25 03:48:49,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
7.280508,0.029032109,64.18803,67203.30359,62833.48437,10004.0016,186.9719425,1.14871472,0.220253061,0.029032109,0.0,interval 0,2022-10-25 02:48:35,2022-10-25 03:24:05,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
7.708773000000001,0.020011706,64.29718,67203.00991,62833.17266,8352.789832,234.4048479,2.540427118,0.256523576,0.020011706,0.0,interval 0,2022-10-25 02:21:37,2022-10-25 02:59:20,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
8.137037999999999,0.020011706,64.40624,67202.71622,62832.86095,8352.789832,232.2958054,0.692832674,0.270269155,0.020011706,0.0,interval 0,2022-10-25 01:54:40,2022-10-25 02:34:35,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
8.565303,0.02254855,64.51531,67202.42254,62832.54925,7452.220762,255.0735192,1.821558525,0.301949266,0.02254855,0.0,interval 0,2022-10-25 01:27:42,2022-10-25 02:09:50,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
8.993568999999999,0.008844748,64.62452,67202.12886,62832.23754,9403.535729,198.2184165,1.429036985,0.279412472,0.008844748,0.0,interval 0,2022-10-25 01:00:44,2022-10-25 01:45:06,22.871860789330597,29.032975953881095,1059.4584759999998,1344.8504580000003,46.321481481481484
