depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peakID_1,peakID_2,peakID_3,peakID_4
14.047964,0.027777874,65.60543,8655.191141,63794.0343,10454.36993,269.1364442,1.657873587,0.225975578,0.027777874,0.0,interval 7,interval 7,interval 7,interval 7
14.486963000000001,0.004243016,65.71444,8655.436781,63793.67046,9803.843106,286.9865889,0.590893373,0.270173865,0.004243016,0.0,interval 7,interval 7,interval 7,interval 7
14.925961,0.013149486,65.8236,8655.682421,63793.30662,9503.611372,299.5807109,1.627764386,0.237810739,0.013149486,0.0,interval 7,interval 7,interval 7,interval 7
15.36496,0.009065643,65.93274,8655.928061,63792.94277,9203.386846,311.5334878,0.420832383,0.266261815,0.009065643,0.0,interval 7,interval 7,interval 7,interval 7
15.803958999999999,0.004431909,66.04189,8656.173701,63792.57893,9403.535729,308.0926522,1.645880561,0.278225806,0.004431909,0.0,interval 7,interval 7,interval 7,interval 7
16.242957999999998,0.009850492,66.15104,8656.419341,63792.21509,8502.890983,335.0336315,1.829084055,0.287104094,0.009850492,0.0,interval 7,interval 7,interval 7,interval 7
16.681957,0.005082363,66.26023,8656.664981,63791.85125,8252.723399,346.4246973,3.067120897,0.305382278,0.005082363,0.0,interval 7,interval 7,interval 7,interval 7
17.120956,0.01984118,66.36938,8656.910622,63791.48741,10454.36993,274.674928,0.921033513,0.20995778,0.01984118,0.0,interval 7,interval 7,interval 7,interval 7
17.559955,0.020862165,66.47853,8657.156262,63791.12356,8052.592935,358.9575298,1.452650694,0.285309952,0.020862165,0.0,interval 7,interval 7,interval 7,interval 7
17.998954,0.014506681,66.58767,8657.401902,63790.75972,8652.993936,319.4597039,2.020245768,0.22548826,0.014506681,0.0,interval 7,interval 7,interval 7,interval 7
18.437952,0.014419665,66.69673,8657.647542,63790.39588,8753.063572,325.0184837,1.552445698,0.222783157,0.0,0.0,interval 7,interval 7,interval 7,interval 7
18.876951,0.018772462,66.80582,8657.893182,63790.03204,8903.169528,324.2671045,1.089283531,0.223054459,0.018772462,0.0,interval 7,interval 7,interval 7,interval 7
19.315949999999997,0.019110276,66.91496,8658.138822,63789.6682,8753.063572,316.1538949,1.552445698,0.216355422,0.019110276,0.0,interval 7,interval 7,interval 7,interval 7
19.754949,0.016176152,67.02419,8658.384462,63789.30435,7802.43436,364.7385883,3.754614402,0.275620369,0.016176152,0.0,interval 7,interval 7,interval 7,interval 7
20.193948,0.014332649,67.13334,8658.630102,63788.94051,8753.063572,317.5037194,1.108885349,0.261351191,0.014332649,0.0,interval 7,interval 7,interval 7,interval 7
20.632946999999998,0.013445473,67.24253,8658.875742,63788.57667,9303.460887,305.1787241,1.04024649,0.243163714,0.013445473,0.0,interval 7,interval 7,interval 7,interval 7
21.071946,0.022536118,67.35169,8659.121382,63788.21283,9253.423767,308.0887563,2.092287699,0.232411081,0.022536118,0.0,interval 7,interval 7,interval 7,interval 7
21.510944000000002,0.017629744,67.46085,8659.367022,63787.84899,9453.573451,305.3816691,1.636772365,0.231219906,0.017629744,0.0,interval 7,interval 7,interval 7,interval 7
21.949943,0.023745506,67.56993,8659.612662,63787.48514,8803.098691,329.8747822,1.543189097,0.234233841,0.023745506,0.0,interval 7,interval 7,interval 7,interval 7
22.388942,0.008486067,67.67911,8659.858302,63787.1213,9803.843106,290.1802129,0.787859407,0.216887996,0.008486067,0.0,interval 7,interval 7,interval 7,interval 7
22.827941,0.016176152,67.78834,8660.103942,63786.75746,7802.43436,371.5171944,0.750904858,0.302221967,0.016176152,0.0,interval 7,interval 7,interval 7,interval 7
23.266939999999998,0.013996816,67.89742,8660.349582,63786.39362,8953.205247,311.1254851,2.165826938,0.236394868,0.013996816,0.0,interval 7,interval 7,interval 7,interval 7
23.705938999999997,0.014506681,68.00665,8660.595222,63786.02978,8652.993936,331.5369253,2.469199149,0.26235584,0.014506681,0.0,interval 7,interval 7,interval 7,interval 7
24.144938,0.028301533,68.11579,8660.840862,63785.66593,7452.220762,378.8590713,1.576521937,0.314716371,0.028301533,0.0,interval 7,interval 7,interval 7,interval 7
24.583937,0.026891269,68.22482,8661.086502,63785.30209,9303.460887,298.6846896,2.288569742,0.221053058,0.026891269,0.0,interval 7,interval 7,interval 7,interval 7
25.022935,0.015854183,68.33394,8661.332142,63784.93825,7952.528904,359.7409416,2.453230572,0.284355443,0.015854183,0.0,interval 7,interval 7,interval 7,interval 7
25.461934,0.028325825,68.44296,8661.577782,63784.57441,8853.134009,315.6926214,1.314890677,0.270957216,0.028325825,0.0,interval 7,interval 7,interval 7,interval 7
25.900933000000002,0.019947842,68.5521,8661.823422,63784.21057,8402.823349,344.7769834,2.314994488,0.279515728,0.019947842,0.0,interval 7,interval 7,interval 7,interval 7
26.339932,0.030184264,68.66125,8662.069062,63783.84672,9653.726338,297.9928848,1.000822423,0.193337421,0.030184264,0.0,interval 7,interval 7,interval 7,interval 7
26.778931,0.013006325,68.77045,8662.314702,63783.48288,9603.687816,295.3309121,1.610042538,0.204111418,0.013006325,0.0,interval 7,interval 7,interval 7,interval 7
27.217930000000003,0.032659759,68.8796,8662.560342,63783.11904,8953.205247,317.5961653,1.08290264,0.244764787,0.032659759,0.0,interval 7,interval 7,interval 7,interval 7
27.656929,0.018340189,68.98875,8662.805982,63782.7552,9103.313606,314.6767619,1.48988682,0.275496913,0.018340189,0.0,interval 7,interval 7,interval 7,interval 7
28.095927,0.005542071,69.0979,8663.051623,63782.39136,7602.311103,367.589119,0.771803128,0.275834415,0.005542071,0.0,interval 7,interval 7,interval 7,interval 7
28.534926,0.019947842,69.20691,8663.297263,63782.02751,8402.823349,334.7202697,1.851988183,0.248203015,0.019947842,0.0,interval 7,interval 7,interval 7,interval 7
28.973925,0.009973841,69.31606,8663.542903,63781.66367,8402.823349,338.5058818,1.157485669,0.250439579,0.009973841,0.0,interval 7,interval 7,interval 7,interval 7
29.412924,0.013755087,69.4252,8663.788543,63781.29983,9103.313606,308.5665934,1.064200615,0.193243565,0.013755087,0.0,interval 7,interval 7,interval 7,interval 7
29.851923,0.029190931,69.53434,8664.034183,63780.93599,8602.959418,332.2511714,2.258433227,0.266140369,0.029190931,0.0,interval 7,interval 7,interval 7,interval 7
30.290922000000002,0.009789954,69.6435,8664.279823,63780.57215,8552.9251,325.6125697,1.590609501,0.252408262,0.009789954,0.0,interval 7,interval 7,interval 7,interval 7
30.729921,0.004806342,69.75271,8664.525463,63780.2083,8703.028654,322.2696389,0.892459777,0.234905262,0.004806342,0.0,interval 7,interval 7,interval 7,interval 7
31.16892,0.019460465,69.86185,8664.771103,63779.84446,8602.959418,324.2944076,1.129205321,0.226865588,0.019460465,0.0,interval 7,interval 7,interval 7,interval 7
31.607917999999998,0.00853152,69.97101,8665.016743,63779.48062,9753.803984,284.1983114,1.584171417,0.223789193,0.00853152,0.0,interval 7,interval 7,interval 7,interval 7
32.046917,0.005115001,70.08015,8665.262383,63779.11678,8202.690482,348.2607914,1.899560916,0.236226906,0.005115001,0.0,interval 7,interval 7,interval 7,interval 7
32.485915999999996,0.013077514,70.18927,8665.508023,63778.75294,9553.649494,298.0313269,0.809421015,0.213048543,0.013077514,0.0,interval 7,interval 7,interval 7,interval 7
32.924915,0.019110276,70.29848,8665.753663,63778.38909,8753.063572,323.7320502,1.996009596,0.25063757,0.019110276,0.0,interval 7,interval 7,interval 7,interval 7
33.363914,0.025872123,70.40763,8665.999303,63778.02525,9653.726338,293.4341605,1.601325485,0.189469915,0.025872123,0.0,interval 7,interval 7,interval 7,interval 7
33.802913,0.030852422,70.51679,8666.244943,63777.66141,9453.573451,308.1260085,0.613783499,0.235173324,0.030852422,0.0,interval 7,interval 7,interval 7,interval 7
34.241912,0.018883732,70.62592,8666.490583,63777.29757,8853.134009,319.3729689,0.438293386,0.298484071,0.018883732,0.0,interval 7,interval 7,interval 7,interval 7
34.680910000000004,0.029234564,70.73498,8666.736223,63776.93373,9953.961677,280.9155605,2.132558504,0.207856922,0.029234564,0.0,interval 7,interval 7,interval 7,interval 7
35.119909,0.004532803,70.84406,8666.981863,63776.56988,9203.386846,302.2720143,1.05208727,0.223569231,0.004532803,0.0,interval 7,interval 7,interval 7,interval 7
35.558908,0.027510504,70.95321,8667.227503,63776.20604,9103.313606,317.5928464,2.128422514,0.215861924,0.027510504,0.0,interval 7,interval 7,interval 7,interval 7
35.997907000000005,0.009612722,71.06243,8667.473143,63775.8422,8703.028654,330.8649353,1.784933834,0.24568319,0.009612722,0.0,interval 7,interval 7,interval 7,interval 7
36.436906,0.01383473,71.17153,8667.718783,63775.47836,9053.277286,314.6827401,1.926667836,0.254340111,0.01383473,0.0,interval 7,interval 7,interval 7,interval 7
36.875905,0.010100318,71.28076,8667.964423,63775.11452,8302.756515,340.5675367,1.1721636,0.274000112,0.010100318,0.0,interval 7,interval 7,interval 7,interval 7
37.314904000000006,0.005115001,71.38989,8668.210063,63774.75067,8202.690482,343.6006274,1.899560916,0.236226906,0.005115001,0.0,interval 7,interval 7,interval 7,interval 7
37.753903,0.00927683,71.49904,8668.455703,63774.38683,9003.241167,306.6602883,1.937888385,0.276625356,0.00927683,0.0,interval 7,interval 7,interval 7,interval 7
38.192901,0.020200798,71.60812,8668.701343,63774.02299,8302.756515,336.4574426,1.406599134,0.285325285,0.020200798,0.0,interval 7,interval 7,interval 7,interval 7
38.631899999999995,0.013598518,71.71724,8668.946983,63773.65915,9203.386846,310.0613882,1.893772237,0.243898586,0.013598518,0.0,interval 7,interval 7,interval 7,interval 7
39.070899,0.022159899,71.82623,8669.192624,63773.29531,9403.535729,303.0373553,0.617199038,0.242445186,0.022159899,0.0,interval 7,interval 7,interval 7,interval 7
39.509898,0.013676355,71.93538,8669.438264,63772.93147,9153.350126,315.0814559,1.692985017,0.245294631,0.013676355,0.0,interval 7,interval 7,interval 7,interval 7
39.948896999999995,0.021677381,72.04453,8669.683904,63772.56762,9603.687816,295.480621,2.012561223,0.246888485,0.021677381,0.0,interval 7,interval 7,interval 7,interval 7
40.387896,0.0195985635,72.15368,8669.929544,63772.20378,8102.625251,352.3982893,0.962130013,0.299721877,0.046635448,0.0,interval 7,interval 7,interval 7,interval 7
40.826895,0.023192354,72.26288,8670.175184,63771.83994,9003.241167,312.288677,1.291917838,0.232937882,0.023192354,0.0,interval 7,interval 7,interval 7,interval 7
41.265893,0.015544776,72.37201,8670.420824,63771.4761,8102.625251,349.3580662,1.443200793,0.22768157,0.015544776,0.0,interval 7,interval 7,interval 7,interval 7
41.704892,0.028301533,72.48116,8670.666464,63771.11226,7452.220762,388.5496479,0.525503108,0.296945966,0.028301533,0.0,interval 7,interval 7,interval 7,interval 7
42.143891,0.014775797,72.5903,8670.912104,63770.74841,8502.890983,335.9860393,1.829084055,0.258386965,0.014775797,0.0,interval 7,interval 7,interval 7,interval 7
42.58289,0.025740716,72.69949,8671.157744,63770.38457,8152.657766,346.354144,0.955911515,0.290857725,0.025740716,0.0,interval 7,interval 7,interval 7,interval 7
43.021889,0.018996329,72.80864,8671.403384,63770.02073,8803.098691,320.2284767,1.984108204,0.229974124,0.018996329,0.0,interval 7,interval 7,interval 7,interval 7
43.460888000000004,0.024325679,72.9178,8671.649024,63769.65689,8602.959418,331.3775092,0.90336245,0.281414659,0.024325679,0.0,interval 7,interval 7,interval 7,interval 7
43.899887,0.018028823,73.02696,8671.894664,63769.29305,9253.423767,306.0032212,1.255362576,0.284971016,0.018028823,0.0,interval 7,interval 7,interval 7,interval 7
44.338886,0.008718308,73.13609,8672.140304,63768.9292,9553.649494,291.5626019,0.809421015,0.209138559,0.008718308,0.0,interval 7,interval 7,interval 7,interval 7
44.777884,0.013598518,73.24528,8672.385944,63768.56536,9203.386846,310.9069919,1.47292807,0.237799694,0.013598518,0.0,interval 7,interval 7,interval 7,interval 7
45.216883,0.018340189,73.35442,8672.631584,63768.20152,9103.313606,310.6866253,2.979815359,0.242593995,0.018340189,0.0,interval 7,interval 7,interval 7,interval 7
45.655882,0.018393285000000002,73.46357,8672.877224,63767.83768,9403.535729,304.4766399,1.645880561,0.226543516,0.035456264,0.0,interval 7,interval 7,interval 7,interval 7
46.094880999999994,0.019460465,73.57272,8673.122864,63767.47384,8602.959418,336.6223273,2.032585839,0.250866507,0.019460465,0.0,interval 7,interval 7,interval 7,interval 7
46.533879999999996,0.018446381,73.68173,8673.368504,63767.10999,9053.277286,313.5999018,1.498513434,0.283297326,0.018446381,0.0,interval 7,interval 7,interval 7,interval 7
46.972879,0.009850492,73.79089,8673.614144,63766.74615,8502.890983,343.1702747,2.057723677,0.298149542,0.009850492,0.0,interval 7,interval 7,interval 7,interval 7
47.411877999999994,0.008577463,73.90003,8673.859784,63766.38231,9703.765061,294.4908278,0.995432953,0.236535321,0.008577463,0.0,interval 7,interval 7,interval 7,interval 7
47.850876,0.018883732,74.00918,8674.105424,63766.01847,8853.134009,324.9489454,2.191501994,0.27730944,0.018883732,0.0,interval 7,interval 7,interval 7,interval 7
48.289875,0.015646561,74.11833,8674.351064,63765.65463,8052.592935,358.7412366,1.452650694,0.247884319,0.015646561,0.0,interval 7,interval 7,interval 7,interval 7
48.728874,0.014162743,74.22739,8674.596704,63765.29078,8853.134009,326.4829184,2.848969687,0.273074616,0.014162743,0.0,interval 7,interval 7,interval 7,interval 7
49.167873,0.02360476,74.33653,8674.842344,63764.92694,8853.134009,319.0471345,1.534042191,0.258252997,0.02360476,0.0,interval 7,interval 7,interval 7,interval 7
49.606872,0.005215479,74.4456,8675.087984,63764.5631,8052.592935,355.3540561,0.726320989,0.26191865,0.005215479,0.0,interval 7,interval 7,interval 7,interval 7
50.045871,0.018662496,74.55475,8675.333625,63764.19926,8953.205247,311.2863157,1.51606976,0.313821726,0.018662496,0.0,interval 7,interval 7,interval 7,interval 7
50.48487,0.019225597,74.66393,8675.579265,63763.83542,8703.028654,322.0044426,1.115576953,0.224127549,0.019225597,0.0,interval 7,interval 7,interval 7,interval 7
50.923868999999996,0.014684989,74.77315,8675.824905,63763.47157,8552.9251,328.3802102,1.817843065,0.272166852,0.014684989,0.0,interval 7,interval 7,interval 7,interval 7
51.362867,0.009014339,74.88231,8676.070545,63763.10773,9253.423767,305.4431268,0.627677522,0.284971016,0.009014339,0.0,interval 7,interval 7,interval 7,interval 7
51.801866000000004,0.013295833,74.99145,8676.316185,63762.74389,9403.535729,301.3538028,0.617199038,0.20467955,0.013295833,0.0,interval 7,interval 7,interval 7,interval 7
52.240865,0.01441914,75.10053,8676.561825,63762.38005,8703.028654,320.4799073,1.561813981,0.226283075,0.01441914,0.0,interval 7,interval 7,interval 7,interval 7
52.679864,0.018340189,75.20972,8676.807465,63762.01621,9103.313606,306.3845147,2.128422514,0.254932342,0.018340189,0.0,interval 7,interval 7,interval 7,interval 7
53.118863000000005,0.0,75.31893,8677.053105,63761.65236,9503.611372,296.2515424,3.052100954,0.169010675,0.0,0.0,interval 7,interval 7,interval 7,interval 7
53.557862,0.01049975,75.42809,8677.298745,63761.28852,8002.560819,354.651667,1.949641301,0.244809258,0.01049975,0.0,interval 7,interval 7,interval 7,interval 7
53.996861,0.02388794,75.53722,8677.544385,63760.92468,8753.063572,319.3481277,0.887106505,0.254922993,0.02388794,0.0,interval 7,interval 7,interval 7,interval 7
