depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,peakID_1,peakID_2,peakID_3,peakID_4
13.331151,0.007095257,65.82357,78396.89871,64985.73314,6151.513272,240.0690478,1.646283885,1000,0.373938328,0.007095257,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
13.775523,0.007427169,65.93281,78396.70152,64985.33492,5901.392729,260.4546462,1.378634079,1000,0.55112773,0.007427169,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
14.219894,0.0,66.04188,78396.50433,64984.9367,5501.210266,272.5478995,2.235257415,1000,0.562302721,0.0,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
14.664266,0.023147947,66.15103,78396.30714,64984.53848,5701.299896,255.0284719,2.148357013,1000,0.481571386,0.023147947,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
15.108638000000001,0.029709032,66.26024,78396.10994,64984.14025,5901.392729,247.6401225,1.033973492,1000,0.561431429,0.029709032,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
15.553009,0.016220142,66.36943,78395.91275,64983.74203,5451.188359,280.9725504,1.881739548,1000,0.461169142,0.016220142,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
15.997381,0.013468296,66.47859,78395.71556,64983.34381,6451.664529,224.1768055,1.874992819,1000,0.462332403,0.013468296,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
16.441753,0.026052762,66.58773,78395.51837,64982.94558,6651.769371,227.8842733,1.511211179,1000,0.433606145,0.026052762,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
16.886125,0.021872416,66.69681,78395.32117,64982.54736,6001.440346,249.186014,2.368309155,1000,0.470205821,0.021872416,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
17.330496,0.029709032,66.80596,78395.12398,64982.14914,5901.392729,254.8294332,2.757290217,1000,0.499610471,0.029709032,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
17.774867999999998,0.014994684,66.91506,78394.92679,64981.75092,5851.36922,252.9469398,2.087489454,1000,0.551132175,0.014994684,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
18.219240000000003,0.0,67.02406,78394.7296,64981.35269,5701.299896,266.9106302,2.864487475,1000,0.57255434,0.0,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
18.663611,0.012512937,67.13321,78394.5324,64980.95447,6901.904926,211.9629464,2.322665625,1000,0.416518576,0.012512937,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
