depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peak
16.395105,0.022684448,67.13403,34703.81924,64999.04969,5851.36922,286.5177583,1.05665406,1000,0.50456281,0.022684448,0.0,interval 0
16.826555,0.031136594,67.24321,34703.58695,64998.68611,5701.299896,295.565194,1.8129496,1000,0.538425145,0.031136594,0.0,interval 0
17.258005,0.007088363,67.35243,34703.35466,64998.32252,6201.537981,269.5205712,3.962261424,1000,0.663392237,0.007088363,0.0,interval 0
17.689455,0.021076884,67.46158,34703.12238,64997.95894,6251.562891,264.1902241,2.290821624,1000,0.537424982,0.021076884,0.0,interval 0
18.120905,0.029680122,67.57066,34702.89009,64997.59536,5951.416437,277.2724148,1.382513641,1000,0.573631877,0.029680122,0.0,interval 0
18.552355,0.021457034,67.67981,34702.6578,64997.23178,6151.513272,276.9469182,0.666318959,1000,0.52383235,0.021457034,0.0,interval 0
18.983805,0.044520539,67.78891,34702.42551,64996.8682,5951.416437,283.6826115,2.765049402,1000,0.525317628,0.044520539,0.0,interval 0
19.415255,0.043156333,67.89795,34702.19322,64996.50462,5201.081825,321.4787356,0.804090253,1000,0.632142432,0.043156333,0.0,interval 0
19.846705999999998,0.041791991,68.00705,34701.96094,64996.14104,5351.145145,314.8154025,1.946686128,1000,0.496511197,0.041791991,0.0,interval 0
20.278156,0.013570348,68.11619,34701.72865,64995.77745,6451.664529,258.2874897,2.212426447,1000,0.480375375,0.013570348,0.0,interval 0
20.709605999999997,0.019361705,68.22533,34701.49636,64995.41387,6751.822992,247.5353926,1.803768587,1000,0.509449971,0.019361705,0.0,interval 0
21.141056,0.014434807,68.33451,34701.26407,64995.05029,6101.488763,266.1780292,2.017163893,1000,0.552097043,0.014434807,0.0,interval 0
21.572506,0.008823154,68.44366,34701.03178,64994.68671,5101.040612,338.5633627,4.109964028,1000,0.660569121,0.008823154,0.0,interval 0
22.003956000000002,0.051787807,68.5528,34700.7995,64994.32313,5201.081825,316.0601752,3.216399609,1000,0.547843624,0.051787807,0.0,interval 0
22.435406,0.026178465,68.66194,34700.56721,64993.95955,5151.061119,328.6694292,2.032353607,1000,0.674609174,0.026178465,0.0,interval 0
22.866856000000002,0.039306668,68.77114,34700.33492,64993.59597,5651.277189,295.9564985,2.563296668,1000,0.607745946,0.039306668,0.0,interval 0
23.298307,0.036936548,68.88029,34700.10263,64993.23238,4900.960588,352.6364793,1.720521281,1000,0.879235612,0.036936548,0.0,interval 0
23.729757,0.034516887,68.98943,34699.87034,64992.8688,6351.61331,264.4110108,1.28624475,1000,0.387605888,0.034516887,0.0,interval 0
24.161207,0.014567372,69.09856,34699.63806,64992.50522,6051.464454,274.5943466,2.035688967,1000,0.521597215,0.014567372,0.0,interval 0
24.592657,0.01745224,69.2077,34699.40577,64992.14164,5151.061119,332.2485905,1.219407286,1000,0.603585608,0.01745224,0.0,interval 0
25.024107,0.024237734,69.3169,34699.17348,64991.77806,7152.045485,227.5395459,2.540285999,1000,0.458582219,0.024237734,0.0,interval 0
25.455557,0.006785147,69.42604,34698.94119,64991.41448,6451.664529,257.754487,1.264236098,1000,0.502465619,0.006785147,0.001960453,interval 0
25.887007,0.019051624,69.53519,34698.7089,64991.0509,6851.877414,244.180999,1.774880914,1000,0.532305121,0.019051624,0.0,interval 0
26.318457,0.027140913,69.64435,34698.47661,64990.68731,6451.664529,258.2282652,3.476697945,1000,0.590830132,0.027140913,0.001960453,interval 0
26.749907,0.024306558,69.75337,34698.24433,64990.32373,5501.210266,315.0704647,2.641851114,1000,0.646154856,0.024306558,0.0,interval 0
27.181358,0.005836388,69.86252,34698.01204,64989.96015,7402.191049,222.4261869,1.903065554,1000,0.398954227,0.005836388,0.0,interval 0
27.612807999999998,0.024272146,69.97166,34697.77975,64989.59657,6151.513272,269.5792997,1.998972868,1000,0.593690915,0.050067214,0.0,interval 0
28.044258,0.024272146,70.08081,34697.54746,64989.23299,5451.188359,308.674375,2.287809733,1000,0.652823584,0.065487756,0.0,interval 0
28.475707999999997,0.016542272,70.18996,34697.31517,64988.86941,5401.166652,307.1313009,2.311667513,1000,0.605774218,0.016542272,0.0,interval 0
28.907158,0.025074994,70.29894,34697.08289,64988.50583,5351.145145,318.7544046,3.893411191,1000,0.734615942,0.025074994,0.0,interval 0
29.338607999999997,0.027375118,70.4081,34696.8506,64988.14224,6401.63882,259.5008753,0.956357203,1000,0.523512396,0.027375118,0.0,interval 0
29.770058,0.03280367,70.51731,34696.61831,64987.77866,6651.769371,250.2562686,2.444825671,1000,0.533898889,0.03280367,0.0,interval 0
30.201507999999997,0.020891815,70.62645,34696.38602,64987.41508,6301.588,261.991975,2.270706675,1000,0.521369774,0.020891815,0.0,interval 0
30.632959,0.00645385,70.73557,34696.15373,64987.0515,6751.822992,246.1268339,2.405034403,1000,0.456920215,0.00645385,0.0,interval 0
31.064409,0.006300042,70.84479,34695.92145,64986.68792,6901.904926,239.3263118,1.467314746,1000,0.512692531,0.006300042,0.0,interval 0
31.495859,0.013455232,70.95387,34695.68916,64986.32434,6501.69044,252.515301,0.940131934,1000,0.520106477,0.013455232,0.001943823,interval 0
31.927309,0.052431356,71.06307,34695.45687,64985.96076,5901.392729,285.8385715,1.744465765,1000,0.688788515,0.052431356,0.0,interval 0
32.358759,0.054489694,71.17214,34695.22458,64985.59717,5701.299896,296.6522673,1.450356779,1000,0.481406757,0.054489694,0.002249071,interval 0
32.790209,0.035762009,71.28131,34694.99229,64985.23359,6151.513272,269.3920796,1.665807392,1000,0.518010955,0.035762009,0.002066532,interval 0
33.221659,0.022684448,71.39053,34694.76001,64984.87001,5851.36922,292.5910878,1.761097144,1000,0.467637967,0.022684448,0.002184745,interval 0
33.653109,0.007490014,71.49969,34694.52772,64984.50643,5901.392729,279.3682597,1.744465765,1000,0.511990079,0.007490014,0.0,interval 0
34.08456,0.015416866,71.60885,34694.29543,64984.14285,5751.322804,288.3207249,1.795329547,1000,0.646126745,0.015416866,0.0,interval 0
34.51601,0.055405266,71.71793,34694.06314,64983.77927,4900.960588,353.2007592,1.720521281,1000,0.683814354,0.055405266,0.0,interval 0
34.94746,0.013927821,71.82704,34693.83085,64983.41569,6301.588,267.4015358,3.568281892,1000,0.521369774,0.013927821,0.002012096,interval 0
35.37891,0.016204307,71.93603,34693.59856,64983.0521,5501.210266,296.1236708,2.641851114,1000,0.646154856,0.016204307,0.0,interval 0
35.81036,0.0486137,72.04517,34693.36628,64982.68852,5501.210266,310.5420979,1.887028962,1000,0.606587074,0.0486137,0.004681951,interval 0
36.24181,0.038171635,72.15432,34693.13399,64982.32494,5801.345912,293.8073905,3.556132817,1000,0.590196466,0.038171635,0.002205774,interval 0
36.67326,0.035128421,72.26351,34692.9017,64981.96136,6251.562891,276.0912024,1.963557465,1000,0.520269999,0.035128421,0.0,interval 0
37.10471,0.049180183,72.37267,34692.66941,64981.59778,6251.562891,274.2496153,2.290821624,1000,0.531706632,0.049180183,0.00202992,interval 0
37.536161,0.022684448,72.48181,34692.43712,64981.2342,5851.36922,289.6198689,2.1133208,1000,0.60303339,0.022684448,0.0,interval 0
37.967611,0.059921789,72.59096,34692.20484,64980.87062,5901.392729,293.557479,3.140063497,1000,0.609531507,0.059921789,0.004328234,interval 0
38.399060999999996,0.085831226,72.70011,34691.97255,64980.50703,6151.513272,276.4471948,3.997993713,1000,0.518010955,0.085831226,0.008266179,interval 0
38.830511,0.055227682,72.8093,34691.74026,64980.14345,6351.61331,277.31982,2.894079628,1000,0.415697428,0.055227682,0.007978377,interval 0
39.261961,0.057519328,72.91847,34691.50797,64979.77987,7502.250675,224.121886,6.966258412,1000,0.533615848,0.057519328,0.0,interval 0
39.693411,0.215309554,73.02761,34691.27568,64979.41629,6501.69044,258.8569474,5.640960832,1000,0.706297885,0.215309554,0.034990005,interval 0
40.124860999999996,0.487606359,73.13675,34691.0434,64979.05271,6301.588,278.4151095,17.84297968,1000,0.736774164,0.487606359,0.04024345,interval 0
40.556311,0.461924385,73.24594,34690.81111,64978.68913,5501.210266,330.3002527,45.29911399,1000,0.975923313,0.461924385,0.140474829,interval 0
40.987761,0.393826513,73.35508,34690.57882,64978.32555,6851.877414,263.2271731,3.476697945,1000,0.873509166,0.393826513,0.007226614,interval 0
41.419211999999995,0.703362075,73.46423,34690.34653,64977.96196,7602.311103,233.5104162,3.476697945,1000,1.033743587,0.703362075,0.007629308,interval 0
41.850662,0.730639595,73.57338,34690.11424,64977.59838,6851.877414,264.1725387,3.531846174,1000,1.607920418,0.730639595,0.00773491,interval 0
42.282112,0.629282889,73.68254,34689.88196,64977.2348,10004.0016,176.470379,3.556132817,1000,1.137482524,0.629282889,0.007738938,interval 0
42.713561999999996,1.0153386599999998,73.79173,34689.64967,64976.87122,11104.93059,163.068123,3.568281892,1000,1.310711494,4.55679902,0.007914946,interval 0
43.145012,1.300037725,73.90089,34689.41738,64976.50764,8853.134009,208.9336085,3.568281892,1000,1.335371096,1.300037725,0.007978377,interval 0
43.57646200000001,1.846423339,74.01002,34689.18509,64976.14406,12556.30326,147.0235238,3.556132817,1000,1.330130203,1.846423339,0.007993121,interval 0
44.007912000000005,2.617828029,74.11916,34688.9528,64975.78048,13957.78845,134.9856706,3.568281892,1000,1.0960716,2.617828029,0.182928538,interval 0
44.439362,2.629300437,74.2283,34688.72051,64975.41689,20216.3348,103.2641124,3.568281892,1000,0.876581014,2.629300437,0.008165356,interval 0
44.870813000000005,3.021926562,74.33749,34688.48823,64975.05331,25926.86023,87.1342973,42.30514655,1000,0.593320916,3.021926562,0.129997085,interval 0
45.302263,2.809141377,74.44665,34688.25594,64974.68973,39211.40506,65.64497811,31.05913983,1000,0.389998794,2.809141377,0.089427307,interval 0
45.733713,2.851741829,74.5558,34688.02365,64974.32615,51907.55245,55.71474321,28.90028165,1000,0.400686158,2.851741829,0.062822418,interval 0
46.165163,2.496393754,74.66495,34687.79136,64973.96257,63108.90823,46.6742026,18.05784685,1000,1.015333404,2.496393754,0.051013277,interval 0
46.596613000000005,2.769723127,74.77414,34687.55907,64973.59899,71302.78512,46.98581366,20.23761116,1000,0.222577456,2.769723127,0.052081403,interval 0
47.028063,2.408910929,74.88329,34687.32679,64973.23541,80659.40063,42.11274277,17.45549116,1000,0.285081075,2.408910929,0.056032019,interval 0
47.459513,2.828017381,74.99243,34687.0945,64972.87182,87555.56894,42.90936027,16.0497635,1000,0.174650308,2.828017381,0.043270473,interval 0
47.890963,2.467631093,75.10159,34686.86221,64972.50824,109477.3211,35.40802219,14.86170621,1000,0.13027606,2.467631093,0.036877418,interval 0
48.322414,2.559024382,75.21073,34686.62992,64972.14466,112453.5671,41.79749123,12.82507549,1000,0.158329756,2.559024382,0.060539699,interval 0
48.753864,2.180743202,75.31993,34686.39763,64971.78108,118509.1261,37.17345697,18.09840645,1000,0.108778421,2.180743202,0.023637112,interval 0
49.185314,2.517639092,75.42907,34686.16535,64971.4175,127345.3864,36.76946682,10.76238018,1000,0.133345267,2.517639092,0.022351295,interval 0
49.616764,2.283196544,75.53822,34685.93306,64971.05392,134166.1791,34.81247115,8.866890261,1000,0.135739645,2.283196544,0.038915076,interval 0
50.048214,2.565995521,75.64737,34685.70077,64970.69034,132397.4699,40.6757892,10.36388492,1000,0.117680438,2.565995521,0.019840316,interval 0
