depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peak
18.135255,0.021522649,66.15415,83202.20594,60193.72243,7802.43436,236.1244021,3.48319631,0.259297612,0.021522649,0.0,interval 0
18.577579,0.010014472,66.26328,83202.6214,60193.87425,8352.789832,222.9538248,2.546864413,0.274595989,0.010014472,0.0,interval 0
19.019902000000002,0.016363775,66.3725,83203.03685,60194.02607,7702.372331,242.1471367,3.531069081,0.246995594,0.016363775,0.001539779,interval 0
19.462225,0.013883142,66.48164,83203.4523,60194.1779,9003.241167,197.0783793,1.711855921,0.211475723,0.013883142,0.0,interval 0
19.904549,0.014927595,66.59079,83203.86775,60194.32972,8402.823349,212.5648054,1.150394257,0.254264848,0.014927595,0.0,interval 0
20.346871999999998,0.009828457,66.69993,83204.2832,60194.48154,8502.890983,213.6998604,1.590614678,0.216401773,0.009828457,0.0,interval 0
20.789195,0.009476409,66.80913,83204.69865,60194.63337,8803.098691,208.5967575,2.629123533,0.228338995,0.009476409,0.0,interval 0
21.231518,0.005569364,66.91828,83205.1141,60194.78519,7552.280789,251.8509013,0.772568024,0.247566342,0.005569364,0.0,interval 0
21.673842,0.012498446,67.02744,83205.52955,60194.93701,9953.961677,184.7951751,1.541116466,0.209426199,0.012498446,0.0,interval 0
22.116165,0.014386443,67.13657,83205.945,60195.08884,8703.028654,212.2499207,2.439148135,0.255011112,0.014386443,0.0,interval 0
22.558488,0.0,67.2457,83206.36046,60195.24066,7902.497189,237.3936273,1.963750083,0.282301021,0.0,0.0,interval 0
23.000812,0.025851932,67.35491,83206.77591,60195.39248,8102.625251,228.4981268,2.629817058,0.298580096,0.025851932,0.0,interval 0
23.443135,0.009309674,67.46406,83207.19136,60195.5443,8953.205247,202.0767123,0.86094108,0.230124207,0.009309674,0.0,interval 0
23.885458,0.0,67.57322,83207.60681,60195.69613,8252.723399,230.4477955,4.220911271,0.284427203,0.0,0.0,interval 0
24.327782,0.010014472,67.68236,83208.02226,60195.84795,8352.789832,213.7951337,2.315326654,0.22881992,0.010014472,0.0,interval 0
24.770105,0.004883969,67.79141,83208.43771,60195.99977,8552.9251,206.8418667,0.903324204,0.229276103,0.004883969,0.0,interval 0
25.212428,0.03365298,67.90056,83208.85316,60196.1516,7502.250675,238.238108,1.037371461,0.270291004,0.03365298,0.0,interval 0
25.654751,0.005007216,68.00972,83209.26861,60196.30342,8352.789832,218.2244331,1.15765175,0.193450263,0.005007216,0.0,interval 0
26.097075,0.024571438,68.1188,83209.68406,60196.45524,8502.890983,217.7242405,1.363381283,0.287875345,0.024571438,0.0,interval 0
26.539398,0.025704328,68.22793,83210.09952,60196.60707,6601.74286,273.3322075,2.377087848,0.339050467,0.025704328,0.0,interval 0
26.981721,0.025195431,68.33704,83210.51497,60196.75889,8302.756515,217.7892378,1.631008436,0.244929779,0.025195431,0.0,interval 0
27.424045,0.00995169,68.44609,83210.93042,60196.91071,8402.823349,211.868276,2.070726229,0.22325024,0.00995169,0.0,interval 0
27.866367999999998,0.022921021,68.55523,83211.34587,60197.06254,7352.161535,250.4091326,1.324800064,0.283288101,0.022921021,0.0,interval 0
28.308691,0.031640766,68.66433,83211.76132,60197.21436,7952.528904,226.7518581,1.706862033,0.27385136,0.031640766,0.0,interval 0
28.751015000000002,0.0,68.77335,83212.17677,60197.36618,7902.497189,231.7519581,1.718277886,0.282301021,0.0,0.0,interval 0
