depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peak
16.683667,0.027686445,66.26114,8640.644241,41154.26744,6401.63882,389.306795,2.554487042,1000,0.290360624,0.027686445,0.0,interval 0
17.122709999999998,0.06560826,66.37034,8641.042542,41154.08273,4900.960588,541.1240253,2.161868033,1000,0.377233113,0.06560826,0.0,interval 0
17.561754,0.03981398,66.47947,8641.440843,41153.89803,5651.277189,441.2396432,1.836698056,1000,0.365640043,0.03981398,0.0,interval 0
18.000798,0.034015165,66.58863,8641.839144,41153.71332,6501.69044,380.5665451,1.569187163,1000,0.239100727,0.034015165,0.0,interval 0
18.439842000000002,0.02879712,66.69777,8642.237446,41153.52862,4800.921777,532.8339466,2.656963385,1000,0.473433392,0.02879712,0.0,interval 0
18.878886,0.030650018,66.80691,8642.635747,41153.34391,5801.345912,434.3535076,2.496290658,1000,0.328664196,0.015460303,0.0,interval 0
19.31793,0.0332590405,66.9161,8643.034048,41153.15921,5901.392729,429.2759525,4.897300415,1000,0.399774636,0.053078695,0.0,interval 0
19.756973000000002,0.032502916,67.02525,8643.432349,41152.9745,5551.232374,460.5461316,1.124568086,1000,0.340873191,0.032502916,0.0,interval 0
20.196017,0.035010704,67.13441,8643.83065,41152.7898,5201.081825,493.0660525,4.441632818,1000,0.436651021,0.035010704,0.0,interval 0
20.635061,0.03579988,67.24354,8644.228951,41152.6051,5101.040612,513.2855145,1.238639739,1000,0.360226886,0.03579988,0.0,interval 0
21.074105,0.020764751,67.35267,8644.627252,41152.42039,6401.63882,399.676912,2.554487042,1000,0.32175611,0.020764751,0.0,interval 0
21.513149,0.024868243,67.46187,8645.025553,41152.23569,7051.988661,361.7859872,1.147223762,1000,0.296054641,0.024868243,0.0,interval 0
21.952192999999998,0.037554436,67.57103,8645.423854,41152.05098,5951.416437,425.696733,2.42545484,1000,0.361923503,0.037554436,0.0,interval 0
22.391237,0.012733129,67.68019,8645.822156,41151.86628,6901.904926,360.741963,2.937087365,1000,0.3537157,0.012733129,0.0,interval 0
22.830280000000002,0.015925401,67.78933,8646.220457,41151.68157,5651.277189,453.988751,1.836698056,1000,0.406274029,0.015925401,0.0,interval 0
23.269324,0.024622666,67.89838,8646.618758,41151.49687,6301.588,404.3967146,1.949851618,1000,0.319476953,0.0563563,0.0,interval 0
23.708368,0.024377089,68.00753,8647.017059,41151.31216,5551.232374,468.2945967,0.749710558,1000,0.40998141,0.024377089,0.0,interval 0
