depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peakID_1,peakID_2,peakID_3,peakID_4
13.727276,0.563037858,65.71706,14179.00388,46101.53629,2000.160013,1197.962697,5.617272392,2.847027672,0.563037858,0.0,interval 7,interval 7,interval 7,interval 7
14.156253000000001,0.596232959,65.82618,14179.23117,46101.17247,1750.122509,1573.873809,44.61507565,3.881142458,0.596232959,0.0,interval 7,interval 7,interval 7,interval 7
14.585231,0.532790596,65.93534,14179.45845,46100.80866,1950.152112,1284.187829,15.74986156,2.993435258,0.532790596,0.0,interval 7,interval 7,interval 7,interval 7
15.014208,0.107353343,66.04448,14179.68574,46100.44484,2050.168114,1156.240141,26.77736196,2.592723063,0.107353343,0.0,interval 7,interval 7,interval 7,interval 7
15.443185,0.117280404,66.1536,14179.91303,46100.08102,2450.240124,861.077845,7.800758763,2.567037865,0.117280404,0.0,interval 7,interval 7,interval 7,interval 7
15.872163000000002,0.263936656,66.2628,14180.14031,46099.71721,1850.13691,1446.50543,21.94435673,3.236987704,0.263936656,0.0,interval 7,interval 7,interval 7,interval 7
16.30114,0.436854393,66.37194,14180.3676,46099.35339,1900.144411,1367.221681,16.60369861,3.297036946,0.436854393,0.0,interval 7,interval 7,interval 7,interval 7
16.730117999999997,0.559979397,66.48108,14180.59489,46098.98957,1800.129609,1539.314177,41.90228466,3.645152086,0.559979397,0.0,interval 7,interval 7,interval 7,interval 7
17.159095,0.118394595,66.59023,14180.82217,46098.62576,1950.152112,1270.234889,27.56258848,3.038119473,0.118394595,0.0,interval 7,interval 7,interval 7,interval 7
17.588072,1.172222548,66.69942,14181.04946,46098.26194,2500.250025,834.1059588,7.544533335,1.854824403,1.172222548,0.0,interval 7,interval 7,interval 7,interval 7
18.01705,0.3852603055,66.80854,14181.27674,46097.89812,1300.067604,3922.19455,23.75544156,9.973617406,2.321582809,0.0,interval 7,interval 7,interval 7,interval 7
18.446027,0.342452844,66.91768,14181.50403,46097.53431,1650.108907,1867.314307,22.77782077,4.070685706,0.342452844,0.0,interval 7,interval 7,interval 7,interval 7
18.875004,0.098195725,67.02683,14181.73132,46097.17049,2150.184916,1045.35786,16.32860925,3.520494759,0.098195725,0.0,interval 7,interval 7,interval 7,interval 7
19.303982,0.43246108,67.13596,14181.9586,46096.80667,1200.057603,5646.811091,60.27055494,16.21841182,1.553393004,0.0,interval 7,interval 7,interval 7,interval 7
