depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peakID_1,peakID_2,peakID_3,peakID_4
14.26492,0.031716105,65.71578,30955.37727,80695.27957,5501.210266,243.3174889,1.090146431,1000,0.337245216,0.031716105,0.0,interval 7,interval 7,interval 7,interval 7
14.710699,0.007624873,65.82476,30955.74085,80695.02164,5701.299896,227.102934,1.747242889,1000,0.32431255,0.007624873,0.0,interval 7,interval 7,interval 7,interval 7
15.156478,0.007481422,65.93391,30956.10443,80694.76371,5801.345912,221.5194747,2.743010341,1000,0.314788849,0.007481422,0.0,interval 7,interval 7,interval 7,interval 7
15.602257,0.026443481,66.04315,30956.46802,80694.50579,6501.69044,200.3171479,0.908915712,1000,0.299324337,0.026443481,0.0,interval 7,interval 7,interval 7,interval 7
16.048036000000003,0.0,66.15227,30956.8316,80694.24786,6251.562891,213.4793016,1.896672482,1000,0.337546566,0.0,0.0,interval 7,interval 7,interval 7,interval 7
16.493814,0.046193006,66.26142,30957.19518,80693.98993,5651.277189,238.4122655,2.116991356,1000,0.338016838,0.046193006,0.0,interval 7,interval 7,interval 7,interval 7
16.939593,0.024520324,66.37054,30957.55876,80693.73201,5351.145145,236.5678363,1.872932637,1000,0.299039375,0.024520324,0.0,interval 7,interval 7,interval 7,interval 7
17.385372,0.0,66.47968,30957.92235,80693.47408,5801.345912,219.2914945,2.057249526,1000,0.338744918,0.0,0.0,interval 7,interval 7,interval 7,interval 7
17.831151,0.014038493,66.58884,30958.28593,80693.21615,6151.513272,208.8178381,3.860350696,1000,0.28570872,0.014038493,0.0,interval 7,interval 7,interval 7,interval 7
18.276929,0.006666204,66.69805,30958.64951,80692.95823,6451.664529,200.126606,1.833079871,1000,0.323179614,0.006666204,0.0,interval 7,interval 7,interval 7,interval 7
18.722708,0.023321978,66.80716,30959.01309,80692.7003,5601.254681,229.8399337,2.493969337,1000,0.298648494,0.023321978,0.0,interval 7,interval 7,interval 7,interval 7
19.168487000000002,0.034191343,66.91638,30959.37668,80692.44237,6301.588,206.5474363,0.940176525,1000,0.231420927,0.034191343,0.0,interval 7,interval 7,interval 7,interval 7
19.614266,0.037059103,67.02546,30959.74026,80692.18445,5851.36922,219.9096083,3.057134965,1000,0.301684286,0.037059103,0.0,interval 7,interval 7,interval 7,interval 7
