specimen,peakID,category,element,mean,std,se,cl95,N,growth_rate,start_date,end_date
B255,peakID_1,peak 3,55Mn/43Ca,0.010914410143412528,0.0025153675259103735,5.2278841143202775e-05,0.00010251826869080135,2315,,2022-06-01 03:00:00,2022-06-01 03:00:00
B255,peakID_1,peak 3,88Sr/43Ca,2.320108193561555,0.733803843417473,0.015251216438603502,0.029907478255523808,2315,,2022-06-01 03:00:00,2022-06-01 03:00:00
B255,peakID_1,peak 3,138Ba/43Ca,0.0052952122617710585,0.0015201325079141773,3.1594097116723046e-05,6.195569883393661e-05,2315,,2022-06-01 03:00:00,2022-06-01 03:00:00
B255,peakID_1,peak 2,Ca43,463756.48527080636,73654.21499111954,1529.4920742379015,2999.315485904657,2319,,2022-05-11 22:45:00,2022-05-11 22:45:00
B255,peakID_1,peak 2,23Na/43Ca,20.996438083132386,5.018622210159825,0.10421593516351016,0.2043661902397885,2319,,2022-05-11 22:45:00,2022-05-11 22:45:00
B255,peakID_1,peak 2,25Mg/43Ca,0.9518577926131954,0.40463961556553324,0.0084026838790526,0.016477561607608462,2319,,2022-05-11 22:45:00,2022-05-11 22:45:00
B255,peakID_1,peak 2,43Ca/43Ca,1000.0,0.0,0.0,0.0,2319,,2022-05-11 22:45:00,2022-05-11 22:45:00
B255,peakID_1,peak 2,55Mn/43Ca,0.006724583479948253,0.001477728392874165,3.0686280005154565e-05,6.017542449190273e-05,2319,,2022-05-11 22:45:00,2022-05-11 22:45:00
B255,peakID_1,peak 2,88Sr/43Ca,2.544623383548512,1.915791815886016,0.039783037517143995,0.078014056111373,2319,,2022-05-11 22:45:00,2022-05-11 22:45:00
B255,peakID_1,peak 2,138Ba/43Ca,0.004596788155670548,0.001548420351675101,3.2154258323997824e-05,6.305411224638012e-05,2319,,2022-05-11 22:45:00,2022-05-11 22:45:00
B255,peakID_1,peak 1,Ca43,431324.5311872118,64082.15396373418,1336.4958526905823,2620.864142699438,2299,,2022-04-25 00:00:00,2022-04-25 00:00:00
B255,peakID_1,peak 1,23Na/43Ca,20.237376401194865,4.669919956950695,0.09739573764005689,0.19099273366146663,2299,,2022-04-25 00:00:00,2022-04-25 00:00:00
B255,peakID_1,peak 1,25Mg/43Ca,0.7256601825502392,0.17042429924745567,0.0035543650619301154,0.0069700986517262165,2299,,2022-04-25 00:00:00,2022-04-25 00:00:00
B255,peakID_1,peak 1,43Ca/43Ca,1000.0,0.0,0.0,0.0,2299,,2022-04-25 00:00:00,2022-04-25 00:00:00
B255,peakID_1,peak 1,55Mn/43Ca,0.006973919271422358,0.0013688252203324291,2.854818567846342e-05,5.5982901879705656e-05,2299,,2022-04-25 00:00:00,2022-04-25 00:00:00
B255,peakID_1,peak 1,88Sr/43Ca,2.2766120372601133,0.5962343446789053,0.012435049067576776,0.0243850919165293,2299,,2022-04-25 00:00:00,2022-04-25 00:00:00
B255,peakID_1,peak 1,138Ba/43Ca,0.005054822911265767,0.0012450876157939468,2.5967517191865124e-05,5.092221913452263e-05,2299,,2022-04-25 00:00:00,2022-04-25 00:00:00
B255,peakID_1,interval 7,Ca43,376127.72324695333,137075.29760218566,2961.0661658289678,5806.86425258412,2143,20.329382264113043,2022-09-09 02:10:26,2022-10-25 10:00:00
B255,peakID_1,interval 7,23Na/43Ca,44.56774550632104,56.508451920255624,1.2206813918438204,2.393844224047621,2143,20.329382264113043,2022-09-09 02:10:26,2022-10-25 10:00:00
B255,peakID_1,interval 7,25Mg/43Ca,1.1609764158408773,0.594605425397414,0.012844517122788645,0.025189024204443987,2143,20.329382264113043,2022-09-09 02:10:26,2022-10-25 10:00:00
B255,peakID_1,interval 7,43Ca/43Ca,1000.0,0.0,0.0,0.0,2143,20.329382264113043,2022-09-09 02:10:26,2022-10-25 10:00:00
B255,peakID_1,interval 7,55Mn/43Ca,0.034915770375174994,0.09159356930952578,0.001978581289511808,0.0038801405701386605,2143,20.329382264113043,2022-09-09 02:10:26,2022-10-25 10:00:00
B255,peakID_1,interval 7,88Sr/43Ca,1.1580041643019132,0.38366433561679997,0.008287820658446937,0.016253013886939092,2143,20.329382264113043,2022-09-09 02:10:26,2022-10-25 10:00:00
B255,peakID_1,interval 7,138Ba/43Ca,0.0014203620461969203,0.0020766687737630843,4.485967749980177e-05,8.797306208898045e-05,2143,20.329382264113043,2022-09-09 02:10:26,2022-10-25 10:00:00
B255,peakID_1,interval 6,Ca43,381611.4431618561,45639.820072970215,961.7445424651027,1885.9987594346217,2252,34.61093430263573,2022-08-12 01:38:14,2022-09-09 01:22:08
B255,peakID_1,interval 6,23Na/43Ca,26.3027166240675,3.1747320068794576,0.06689950084211398,0.13119115318463126,2252,34.61093430263573,2022-08-12 01:38:14,2022-09-09 01:22:08
B255,peakID_1,interval 6,25Mg/43Ca,0.7653532803263766,0.19654885543554096,0.00414177331857724,0.008122093753372694,2252,34.61093430263573,2022-08-12 01:38:14,2022-09-09 01:22:08
B255,peakID_1,interval 6,43Ca/43Ca,1000.0,0.0,0.0,0.0,2252,34.61093430263573,2022-08-12 01:38:14,2022-09-09 01:22:08
B255,peakID_1,interval 6,55Mn/43Ca,0.006583005584813498,0.0012578752157560743,2.6506559883919978e-05,5.197985208194362e-05,2252,34.61093430263573,2022-08-12 01:38:14,2022-09-09 01:22:08
B255,peakID_1,interval 6,88Sr/43Ca,1.295844164045737,0.1890316802465924,0.003983367737635718,0.007811457491920686,2252,34.61093430263573,2022-08-12 01:38:14,2022-09-09 01:22:08
B255,peakID_1,interval 6,138Ba/43Ca,0.0011857451607460037,0.0002703978151422873,5.697954606126876e-06,1.117379391717215e-05,2252,34.61093430263573,2022-08-12 01:38:14,2022-09-09 01:22:08
B255,peakID_1,interval 4,Ca43,301725.1077202659,38767.272531168,493.62036043012796,967.6680469694015,6168,101.48770917304476,2022-06-28 01:13:38,2022-07-24 05:53:56
B255,peakID_1,interval 4,23Na/43Ca,25.372857698073766,4.150110074290643,0.05284299608771914,0.10359070030186285,6168,101.48770917304476,2022-06-28 01:13:38,2022-07-24 05:53:56
B255,peakID_1,interval 4,25Mg/43Ca,0.9643587655672828,0.16869496698979647,0.002147978564685036,0.0042107870526445264,6168,101.48770917304476,2022-06-28 01:13:38,2022-07-24 05:53:56
B255,peakID_1,interval 4,43Ca/43Ca,1000.0,0.0,0.0,0.0,6168,101.48770917304476,2022-06-28 01:13:38,2022-07-24 05:53:56
B255,peakID_1,interval 4,55Mn/43Ca,0.010173270803015564,0.0016917175989566696,2.1540495279145774e-05,4.2226882577051e-05,6168,101.48770917304476,2022-06-28 01:13:38,2022-07-24 05:53:56
B255,peakID_1,interval 4,88Sr/43Ca,1.8733368514991895,0.3571588933080086,0.004547673595138346,0.008915026159429967,6168,101.48770917304476,2022-06-28 01:13:38,2022-07-24 05:53:56
B255,peakID_1,interval 4,138Ba/43Ca,0.0023428578284695203,0.000557282737671592,7.0958333633034605e-06,1.3910307926328174e-05,6168,101.48770917304476,2022-06-28 01:13:38,2022-07-24 05:53:56
B255,peakID_1,interval 3,Ca43,311701.0998740878,51445.530124862555,529.0745609503003,1037.0998608132684,9455,153.54196739325997,2022-06-01 03:04:05,2022-06-28 01:03:21
B255,peakID_1,interval 3,23Na/43Ca,23.4624553970423,4.528163231824091,0.04656839900325596,0.09128407163978215,9455,153.54196739325997,2022-06-01 03:04:05,2022-06-28 01:03:21
B255,peakID_1,interval 3,25Mg/43Ca,0.9677984040977262,0.20917103480780047,0.0021511504135706037,0.004216717187262472,9455,153.54196739325997,2022-06-01 03:04:05,2022-06-28 01:03:21
B255,peakID_1,interval 3,43Ca/43Ca,1000.0,0.0,0.0,0.0,9455,153.54196739325997,2022-06-01 03:04:05,2022-06-28 01:03:21
B255,peakID_1,interval 3,55Mn/43Ca,0.010316905678053939,0.0018707684097264855,1.9239299752834967e-05,3.77131628857208e-05,9455,153.54196739325997,2022-06-01 03:04:05,2022-06-28 01:03:21
B255,peakID_1,interval 3,88Sr/43Ca,2.038598211165838,0.48168249161520266,0.004953704474426212,0.0097103255384454,9455,153.54196739325997,2022-06-01 03:04:05,2022-06-28 01:03:21
B255,peakID_1,interval 3,138Ba/43Ca,0.0035121860520359598,0.000960827638022615,9.88131446020525e-06,1.9369500270291125e-05,9455,153.54196739325997,2022-06-01 03:04:05,2022-06-28 01:03:21
B255,peakID_1,interval 2,Ca43,415358.9925708252,67998.68542515417,1129.7083787989902,2214.927894299757,3623,77.43518371202883,2022-05-11 22:52:58,2022-06-01 02:51:59
B255,peakID_1,interval 2,23Na/43Ca,22.423598405821693,5.459525935418286,0.09070281513458317,0.1778336773483812,3623,77.43518371202883,2022-05-11 22:52:58,2022-06-01 02:51:59
B255,peakID_1,interval 2,25Mg/43Ca,1.1595636095713495,0.29397484716470657,0.004884003946865546,0.009575671722717576,3623,77.43518371202883,2022-05-11 22:52:58,2022-06-01 02:51:59
