Element,GR_slope,GR_slope_se,T_slope,T_slope_se,S_slope,S_slope_se,Chl_slope,Chl_slope_se,GR_slope_norm,GR_slope_norm_se,T_slope_norm,T_slope_norm_se,S_slope_norm,S_slope_norm_se,Chl_slope_norm,Chl_slope_norm_se,Intercept,R_squared,P_value,Std_err,RSE,peakID
NaCa_mean,-0.20113625910006366,0.10897385085328017,-7.919828458200874,2.2816123596312,6.0303989553593915,5.016765608191911,-4.739143989984036,0.9026914629607876,-0.00387497519327565,0.0020994273765532487,-0.15257884852705414,0.04395622815001048,0.11617818916452961,0.09665011355586027,-0.09130161553523551,0.01739073323629121,25.025809619891895,0.09170022554299384,0.06548690516723184,0.10897385085328017,0.0020994273765532487,All
MgCa_mean,-0.008704092594817275,0.004752101641550422,-0.24786264828896015,0.09949592268867496,0.1756556147974468,0.21876973141070646,-0.18951681140219456,0.039364320425136094,-0.0038583842769260935,0.002106530239238309,-0.10987352611170868,0.04410494253574708,0.07786530932492718,0.09697710390225169,-0.08400975487815866,0.017449570227534357,2.273785571552958,0.06866684507077403,0.0675655206431931,0.004752101641550422,0.002106530239238309,All
MnCa_mean,-0.000650997527096855,0.00032392305174344297,-0.015195139034716533,0.006782056728658314,0.01066006587795118,0.014912256591491821,-0.012524029214624675,0.002683236126607065,-0.006842729049555373,0.003404801990370254,-0.1597183014635601,0.07128717800185777,0.11204949238213924,0.15674488323800215,-0.1316418802795886,0.028203882543502985,0.11380897223959323,0.06501912475196103,0.04496431006556532,0.00032392305174344297,0.003404801990370254,All
SrCa_mean,0.0009427327731545987,0.0002575215046599076,0.04566394133054598,0.005391791180197455,-0.005364539452772828,0.01185536729987706,0.014484002662720196,0.00213319490836657,0.0004716268532927942,0.00012883190269450897,0.022844587110944142,0.002697385282808403,-0.002683751889742983,0.005930959157770141,0.007246003102284168,0.0010671868325173312,1.4368309121970564,0.3561191558609178,0.00027653744157278706,0.0002575215046599076,0.00012883190269450897,All
BaCa_mean,-2.129875478849584e-05,1.6014985396565658e-05,-0.0006505923503938028,0.0003353096943349645,0.0005617065266626036,0.0007372725412939549,-0.000528092067489499,0.00013266109698541824,-0.0031193806824598774,0.0023455284861492133,-0.09528468824246789,0.04910890770548573,0.08226661632957849,0.10797972678959998,-0.07734349778874458,0.019429326613674525,0.004174623732678231,0.043706017981963496,0.18411235434956086,1.6014985396565658e-05,0.0023455284861492133,All
NaCa_mean,-0.18533654981314515,0.24143946257452142,-9.914908785681165,5.029067348099739,6.868022706665107,10.486707785128157,-6.679755653539466,2.33474445382715,-0.0033259074950379927,0.0043326873138845486,-0.1779253443325736,0.09024778330533831,0.1232482649494562,0.18818641037612144,-0.11986976889085053,0.041897532277421046,44.65214855051735,0.1064494362471834,0.44406678034250147,0.24143946257452142,0.0043326873138845486,1
MgCa_mean,-0.007377795550097687,0.009439620765801054,-0.28137573179601305,0.1966227395700971,0.17072016016956781,0.4100015114257862,-0.2387716910746816,0.09128210440073826,-0.0032526879398865477,0.004161695782098104,-0.12405161449310224,0.08668611231692917,0.07526630445481787,0.18075954565212282,-0.10526854460403826,0.0402440265653356,3.1693066754100956,0.08010486092773461,0.43585199751545456,0.009439620765801054,0.004161695782098104,1
MnCa_mean,-0.0005314608812229419,0.0006561849105927618,-0.02264540034556501,0.013668014636005267,0.014454013115933551,0.028500806525249858,-0.016842611085182497,0.006345375624826238,-0.005456042735094958,0.006736474951985656,-0.23248046357509272,0.1403175183587321,0.14838667537051495,0.2925927831764635,-0.172908315735079,0.06514240615342459,0.12663359247544462,0.08979182992069068,0.41942973588052157,0.0006561849105927618,0.006736474951985656,1
SrCa_mean,0.0009266406632904055,0.0005113641920326505,0.05134816449142014,0.010651469042037998,-0.0012554437402352014,0.022210647739366117,0.01628105557517195,0.0049449443703327,0.00046651219235914026,0.00025744351588459177,0.025850953599910076,0.005362424045802294,-0.0006320463096892318,0.01118182957114737,0.008196608708411634,0.0024895052965908213,1.2149506699030543,0.4098858710719716,0.07222737713254945,0.0005113641920326505,0.00025744351588459177,1
BaCa_mean,-1.3389281719759745e-05,3.042913557288502e-05,-0.0007227678126254184,0.0006338241914089037,0.0004681184410905442,0.0013216623724400535,-0.0006444496390522386,0.00029425287298102563,-0.0020332428715627605,0.0046208470541088485,-0.10975663471527958,0.09625001146284855,0.07108659772165134,0.2007023717643223,-0.09786354952487102,0.044684066624917376,0.007967510648481202,0.051324034090233006,0.6606403323810026,3.042913557288502e-05,0.0046208470541088485,1
NaCa_mean,-0.13222616983079252,0.1510848784784647,-8.534634577248797,4.0895222386323615,6.945906456800482,9.984798014253812,-4.694688600422784,1.5663233055312036,-0.0026531488379437458,0.003031553211281641,-0.17124942694686568,0.08205721446108022,0.1393712278583643,0.200347293448194,-0.0942000182010778,0.03142864126845904,2.5657712182497434,0.12341346302108702,0.3831036180610815,0.1510848784784647,0.003031553211281641,2
MgCa_mean,-0.004285899487841944,0.005197438406380903,-0.2227989761853559,0.14068277488038813,0.1362938307513492,0.3434848887715496,-0.15770620011961595,0.05388275111951557,-0.002135222852544919,0.0025893489316491437,-0.11099781197018285,0.07008775561260078,0.06790119621487084,0.17112318804708035,-0.07856877732169637,0.026844232319202455,2.4067698303550746,0.10105452886237476,0.4111108640570609,0.005197438406380903,0.0025893489316491437,2
MnCa_mean,-0.00036165660347857345,0.0004046986885186884,-0.017611574793238036,0.010954268245173397,0.011404026123933372,0.02674546057942187,-0.011578682485887684,0.004195581939956275,-0.004467068461441587,0.00499871073963595,-0.21753262503294574,0.13530367128796045,0.14085893895394289,0.3303515055218477,-0.14301623932830881,0.05182250671245647,0.08853396253447345,0.09783796873152129,0.3731765074282585,0.0004046986885186884,0.00499871073963595,2
SrCa_mean,0.0009139171446982909,0.00043121266417007646,0.05012807875437454,0.011671940947781843,-0.006681218708587174,0.02849769875242797,0.015367344127726605,0.0044704569532818175,0.0004584848321820059,0.00021632646582206403,0.025147754267038174,0.0058554628477275016,-0.003351767122597451,0.014296441100679498,0.007709335834606586,0.0022426942287847515,1.3832608826750081,0.4008610558767286,0.03597189013852736,0.00043121266417007646,0.00021632646582206403,2
BaCa_mean,-5.191777738395439e-06,1.5294800716664563e-05,-0.0004938882335968095,0.0004139952872594422,0.0003718214430057623,0.0010107927236803372,-0.0003820570809415321,0.00015856386858319364,-0.0008972432218088274,0.0026432480286001855,-0.08535378289572686,0.07154668093883655,0.06425819560665624,0.17468523609336148,-0.06602711893533422,0.027403013664838813,0.004673836026531114,0.059951000778432406,0.7348248441838819,1.5294800716664563e-05,0.0026432480286001855,2
NaCa_mean,-0.5006234146916323,0.3524420860274703,-4.838876552163526,5.181601956390125,0.7951072692231287,10.809178455318696,-4.257441121666647,1.8925071030234124,-0.00886890231692113,0.006243763958333676,-0.08572416352361982,0.09179578950516785,0.014085894697029849,0.19149233741981483,-0.07542361847250557,0.03352711866490048,150.1311281293639,0.08310300575639706,0.1579295508299226,0.3524420860274703,0.006243763958333676,3
