time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
62.11364,0,8625.9071,41161.1015,5551.232374,458.5288712,1.874287641,1000,0.308624109,0.048754763,0
62.2228,0.000439044,8625.9071,41161.1015,5251.102732,497.400198,2.396272571,1000,0.372987534,0.034629018,0
62.33201,0.000878088,8626.305401,41160.9168,5751.322804,431.9399421,1.800586292,1000,0.393859987,0.031224825,0
62.4412,0.001317132,8626.703702,41160.73209,5601.254681,459.1029075,0.371057533,1000,0.405828604,0,0
62.55036,0.001756175,8627.102003,41160.54739,5851.36922,438.3826555,1.765866879,1000,0.334176709,0.022966963,0
62.65943,0.002195219,8627.500304,41160.36268,6401.63882,393.9630523,1.277233303,1000,0.345303385,0.013843112,0
62.76857,0.002634263,8627.898606,41160.17798,5151.061119,497.9235282,2.85797179,1000,0.426463171,0.035400895,0
62.87774,0.003073307,8628.296907,41159.99327,6101.488763,413.9501641,1.010789391,1000,0.314667128,0.029214418,0
62.98691,0.003512351,8628.695208,41159.80857,5501.210266,475.1767716,2.272402855,1000,0.330433324,0.090309647,0
63.09615,0.003951395,8629.093509,41159.62386,5001.0002,516.0269094,2.534422324,1000,0.399682458,0.064095304,0
63.20526,0.004390439,8629.49181,41159.43916,6401.63882,390.4705572,3.831761218,1000,0.325680617,0.089984186,0
63.31442,0.004829482,8629.890111,41159.25446,6651.769371,371.4013378,2.753777582,1000,0.233108994,0.09285908,0
63.42362,0.005268526,8630.288412,41159.06975,6651.769371,372.4100234,2.14181844,1000,0.330881587,0.112758807,0
63.53269,0.00570757,8630.686713,41158.88505,5601.254681,455.4946211,1.113177052,1000,0.314618578,0.056304625,0
63.6419,0.006146614,8631.085014,41158.70034,6501.69044,385.6319527,1.25534722,1000,0.281528018,0.027212023,0
63.75104,0.006585658,8631.483316,41158.51564,5951.416437,428.0432155,1.732460813,1000,0.370440832,0.007510767,0
63.86015,0.007024702,8631.881617,41158.33093,6651.769371,376.5525983,3.977710551,1000,0.285754511,0.026530104,0
63.96937,0.007463746,8632.279918,41158.14623,4750.902672,536.7887053,3.585977705,1000,0.435152334,0.03886611,0
64.07845,0.007902789,8632.678219,41157.96152,6301.588,391.7042892,3.249778695,1000,0.431318044,0.035222265,0
64.1876,0.008341833,8633.07652,41157.77682,5651.277189,445.6994418,2.571387564,1000,0.379184542,0.031851057,0
64.29675,0.008780877,8633.474821,41157.59212,5751.322804,434.1879576,2.880955353,1000,0.345173068,0.015612288,0
64.40586,0.009219921,8633.873122,41157.40741,5451.188359,471.4973804,1.913447659,1000,0.362105235,0.033182008,0
64.51491,0.009658965,8634.271423,41157.22271,6101.488763,415.7637905,2.358527447,1000,0.331231206,0.036518169,0
64.62402,0.010098009,8634.669724,41157.038,4600.846556,564.5057683,4.653294101,1000,0.440295635,0.040347092,0
64.73317,0.010537053,8635.068026,41156.8533,5951.416437,425.8772049,1.385965879,1000,0.315079411,0.045065504,0
64.84236,0.010976096,8635.466327,41156.66859,6151.513272,413.5980324,0.33385763,1000,0.328212313,0.014473961,0
64.95151,0.01141514,8635.864628,41156.48389,6451.664529,395.2877405,2.215855798,1000,0.311194423,0.027447184,0
65.06065,0.011854184,8636.262929,41156.29918,5551.232374,459.9604223,3.373744744,1000,0.363908803,0.048754763,0
65.1698,0.012293228,8636.66123,41156.11448,5651.277189,454.6905617,1.836698056,1000,0.306949091,0.031851057,0
65.27895,0.012732272,8637.059531,41155.92978,6051.464454,417.320703,1.360233245,1000,0.31340887,0.029485626,0
65.38796,0.013171316,8637.457832,41155.74507,5151.061119,498.7738128,4.491134457,1000,0.406391064,0.026550565,0
65.49711,0.01361036,8637.856133,41155.56037,5451.188359,464.0581963,3.44423334,1000,0.305665913,0.066365078,0
65.60623,0.014049403,8638.254434,41155.37566,5451.188359,456.1615795,2.678837438,1000,0.409140073,0.033182008,0
65.71537,0.014488447,8638.652736,41155.19096,5501.210266,453.9402067,1.514929177,1000,0.423530077,0,0
65.82452,0.014927491,8639.051037,41155.00625,5401.166652,455.0141015,3.867333992,1000,0.356421882,0.016766019,0
65.9337,0.015366535,8639.449338,41154.82155,6251.562891,392.4815908,2.623083747,1000,0.265920268,0.028429921,0
66.04285,0.015805579,8639.847639,41154.63684,5951.416437,420.5251023,1.385965879,1000,0.366182159,0.015021594,0
66.15199,0.016244623,8640.24594,41154.45214,7001.960549,350.7335647,2.890728765,1000,0.266415828,0.025064502,0
66.26114,0.016683667,8640.644241,41154.26744,6401.63882,389.306795,2.554487042,1000,0.290360624,0.027686445,0
66.37034,0.01712271,8641.042542,41154.08273,4900.960588,541.1240253,2.161868033,1000,0.377233113,0.06560826,0
66.47947,0.017561754,8641.440843,41153.89803,5651.277189,441.2396432,1.836698056,1000,0.365640043,0.03981398,0
66.58863,0.018000798,8641.839144,41153.71332,6501.69044,380.5665451,1.569187163,1000,0.239100727,0.034015165,0
66.69777,0.018439842,8642.237446,41153.52862,4800.921777,532.8339466,2.656963385,1000,0.473433392,0.02879712,0
66.80691,0.018878886,8642.635747,41153.34391,5801.345912,434.3535076,2.496290658,1000,0.328664196,0.015460303,0
66.9161,0.01931793,8643.034048,41153.15921,5901.392729,429.2759525,4.897300415,1000,0.399774636,0.053078695,0
67.02525,0.019756973,8643.432349,41152.9745,5551.232374,460.5461316,1.124568086,1000,0.340873191,0.032502916,0
67.13441,0.020196017,8643.83065,41152.7898,5201.081825,493.0660525,4.441632818,1000,0.436651021,0.035010704,0
67.24354,0.020635061,8644.228951,41152.6051,5101.040612,513.2855145,1.238639739,1000,0.360226886,0.03579988,0
67.35267,0.021074105,8644.627252,41152.42039,6401.63882,399.676912,2.554487042,1000,0.32175611,0.020764751,0
67.46187,0.021513149,8645.025553,41152.23569,7051.988661,361.7859872,1.147223762,1000,0.296054641,0.024868243,0
67.57103,0.021952193,8645.423854,41152.05098,5951.416437,425.696733,2.42545484,1000,0.361923503,0.037554436,0
67.68019,0.022391237,8645.822156,41151.86628,6901.904926,360.741963,2.937087365,1000,0.3537157,0.012733129,0
67.78933,0.02283028,8646.220457,41151.68157,5651.277189,453.988751,1.836698056,1000,0.406274029,0.015925401,0
67.89838,0.023269324,8646.618758,41151.49687,6301.588,404.3967146,1.949851618,1000,0.319476953,0.0563563,0
68.00753,0.023708368,8647.017059,41151.31216,5551.232374,468.2945967,0.749710558,1000,0.40998141,0.024377089,0
68.11668,0.024147412,8647.41536,41151.12746,5601.254681,463.2931859,1.484239038,1000,0.355662187,0.024130168,0
68.22575,0.024586456,8647.813661,41150.94276,6151.513272,400.7356542,3.004766747,1000,0.365142772,0.021711028,0.002059193
68.33491,0.0250255,8648.211962,41150.75805,6001.440346,432.0247664,2.402727713,1000,0.358532188,0.037202542,0.002117079
68.44415,0.025464544,8648.610263,41150.57335,5551.232374,455.2763108,3.373744744,1000,0.373123177,0.024377089,0
68.5533,0.025903587,8649.008564,41150.38864,4800.921777,536.2132874,3.099796815,1000,0.419007379,0.038396314,0
68.66247,0.026342631,8649.406866,41150.20394,5601.254681,460.9721389,1.855302509,1000,0.328299617,0.032173685,0
68.77158,0.026781675,8649.805167,41150.01923,6201.537981,406.7598913,2.977628066,1000,0.32524794,0.021514937,0
68.8807,0.027220719,8650.203468,41149.83453,6051.464454,422.635892,2.380422462,1000,0.342665163,0.051600464,0
68.98986,0.027659763,8650.601769,41149.64982,6451.664529,392.9776948,2.215855798,1000,0.315084984,0.068619608,0.001952424
69.099,0.028098807,8651.00007,41149.46512,5351.145145,480.7442405,3.126864559,1000,0.384243532,0.016944903,0.002410731
