File,Interval,peakID,total_growth,total_growth_centered,total_time_days,growth_rate,growth_rate_centered,start_date,end_date
B255_int_peakid.csv_peakID_1,interval 7,peakID_1,941.780751,941.780751,46.326087962962966,20.329382264113043,20.329382264113043,2022-09-09 02:10:26,2022-10-25 10:00:00
B255_int_peakid.csv_peakID_1,interval 6,peakID_1,968.7191910000001,968.7191910000001,27.988819444444445,34.61093430263573,34.61093430263573,2022-08-12 01:38:14,2022-09-09 01:22:08
B255_int_peakid.csv_peakID_1,interval 4,peakID_1,2658.435303,2658.435303,26.194652777777776,101.48770917304476,101.48770917304476,2022-06-28 01:13:38,2022-07-24 05:53:56
B255_int_peakid.csv_peakID_1,interval 3,peakID_1,4132.759763000001,4132.759763000001,26.916157407407407,153.54196739325997,153.54196739325997,2022-06-01 03:04:05,2022-06-28 01:03:21
B255_int_peakid.csv_peakID_1,interval 2,peakID_1,1561.5566600000002,1561.5566600000002,20.165983796296295,77.43518371202883,77.43518371202883,2022-05-11 22:52:58,2022-06-01 02:51:59
B255_int_peakid.csv_peakID_1,interval 1,peakID_1,2810.9123899999995,2810.9123899999995,16.94269675925926,165.90702353589745,165.90702353589745,2022-04-25 00:03:43,2022-05-11 22:41:12
B255_int_peakid.csv_peakID_1,interval 0,peakID_1,1752.2610600000007,1752.2610600000007,82.56265046296296,21.223410951251534,21.223410951251534,2022-02-01 10:00:00,2022-04-24 23:30:13
B255_int_peakid.csv_peakID_2,interval 7,peakID_2,941.780751,941.780751,46.326087962962966,20.329382264113043,20.329382264113043,2022-09-09 02:10:26,2022-10-25 10:00:00
B255_int_peakid.csv_peakID_2,interval 6,peakID_2,968.7191910000001,968.7191910000001,27.988819444444445,34.61093430263573,34.61093430263573,2022-08-12 01:38:14,2022-09-09 01:22:08
B255_int_peakid.csv_peakID_2,interval 4,peakID_2,1130.1994649999997,1130.1994649999997,26.183136574074073,43.16516708388164,43.16516708388164,2022-06-28 01:22:00,2022-07-24 05:45:43
B255_int_peakid.csv_peakID_2,interval 3,peakID_2,124.6149030000006,124.6149030000006,26.736203703703705,4.660904905610739,4.660904905610739,2022-06-01 05:13:41,2022-06-27 22:53:49
B255_int_peakid.csv_peakID_2,interval 2,peakID_2,936.2635100000007,936.2635100000007,20.15800925925926,46.44622878967788,46.44622878967788,2022-05-11 22:58:44,2022-06-01 02:46:16
B255_int_peakid.csv_peakID_2,interval 1,peakID_2,9991.752978,9991.752978,16.946435185185184,589.6079540513001,589.6079540513001,2022-04-25 00:01:04,2022-05-11 22:43:56
B255_int_peakid.csv_peakID_2,interval 0,peakID_2,1229.884979999999,1229.884979999999,82.55422453703704,14.897904824340328,14.897904824340328,2022-02-01 10:00:00,2022-04-24 23:18:05
B255_int_peakid.csv_peakID_3,interval 7,peakID_3,941.780751,941.780751,46.326087962962966,20.329382264113043,20.329382264113043,2022-09-09 02:10:26,2022-10-25 10:00:00
B255_int_peakid.csv_peakID_3,interval 6,peakID_3,968.7191910000001,968.7191910000001,27.988819444444445,34.61093430263573,34.61093430263573,2022-08-12 01:38:14,2022-09-09 01:22:08
B255_int_peakid.csv_peakID_3,interval 4,peakID_3,2658.435303,2658.435303,26.194652777777776,101.48770917304476,101.48770917304476,2022-06-28 01:13:38,2022-07-24 05:53:56
B255_int_peakid.csv_peakID_3,interval 3,peakID_3,936.2635100000007,936.2635100000007,26.896412037037038,34.80997795210536,34.80997795210536,2022-06-01 03:18:20,2022-06-28 00:49:10
B255_int_peakid.csv_peakID_3,interval 2,peakID_3,4758.404058,4758.404058,20.173425925925926,235.87486208203862,235.87486208203862,2022-05-11 22:47:37,2022-06-01 02:57:21
B255_int_peakid.csv_peakID_3,interval 1,peakID_3,4233.04998,4233.04998,16.94443287037037,249.81951372371154,249.81951372371154,2022-04-25 00:02:30,2022-05-11 22:42:29
B255_int_peakid.csv_peakID_3,interval 0,peakID_3,1229.884979999999,1229.884979999999,82.55422453703704,14.897904824340328,14.897904824340328,2022-02-01 10:00:00,2022-04-24 23:18:05
B255_int_peakid.csv_peakID_4,interval 7,peakID_4,941.780751,941.780751,46.326087962962966,20.329382264113043,20.329382264113043,2022-09-09 02:10:26,2022-10-25 10:00:00
B255_int_peakid.csv_peakID_4,interval 6,peakID_4,968.7191910000001,968.7191910000001,27.988819444444445,34.61093430263573,34.61093430263573,2022-08-12 01:38:14,2022-09-09 01:22:08
B255_int_peakid.csv_peakID_4,interval 4,peakID_4,1130.1994649999997,1130.1994649999997,26.183136574074073,43.16516708388164,43.16516708388164,2022-06-28 01:22:00,2022-07-24 05:45:43
B255_int_peakid.csv_peakID_4,interval 3,peakID_4,4383.043912000001,4383.043912000001,26.916539351851853,162.8383149373342,162.8383149373342,2022-06-01 03:03:51,2022-06-28 01:03:40
B255_int_peakid.csv_peakID_4,interval 2,peakID_4,1561.5566600000002,1561.5566600000002,20.165983796296295,77.43518371202883,77.43518371202883,2022-05-11 22:52:58,2022-06-01 02:51:59
B255_int_peakid.csv_peakID_4,interval 1,peakID_4,4233.04998,4233.04998,16.94443287037037,249.81951372371154,249.81951372371154,2022-04-25 00:02:30,2022-05-11 22:42:29
B255_int_peakid.csv_peakID_4,interval 0,peakID_4,1229.884979999999,1229.884979999999,82.55422453703704,14.897904824340328,14.897904824340328,2022-02-01 10:00:00,2022-04-24 23:18:05
B323_int_peakid.csv_peakID_1,interval 7,peakID_1,799.814838,799.814838,46.322175925925926,17.266348611925935,17.266348611925935,2022-09-09 02:16:04,2022-10-25 10:00:00
B323_int_peakid.csv_peakID_1,interval 6,peakID_1,558.0739699999999,558.0739699999999,27.970104166666665,19.952516682618718,19.952516682618718,2022-08-12 01:51:50,2022-09-09 01:08:47
B323_int_peakid.csv_peakID_1,interval 4,peakID_1,2141.877622,2141.877622,26.19244212962963,81.7746436700932,81.7746436700932,2022-06-28 01:15:06,2022-07-24 05:52:13
B323_int_peakid.csv_peakID_1,interval 3,peakID_1,2166.6687040000006,2166.6687040000006,26.91113425925926,80.51198002754266,80.51198002754266,2022-06-01 03:07:45,2022-06-28 00:59:47
B323_int_peakid.csv_peakID_1,interval 1,peakID_1,1437.654246,1437.654246,16.937662037037036,84.87914346480217,84.87914346480217,2022-04-25 00:07:26,2022-05-11 22:37:40
B323_int_peakid.csv_peakID_1,interval 0,peakID_1,1570.3875499999995,1570.3875499999995,82.5603587962963,19.021084366586447,19.021084366586447,2022-02-01 10:00:00,2022-04-24 23:26:55
B323_int_peakid.csv_peakID_1,interval 5,peakID_1,1566.0922820000003,1566.0922820000003,18.794965277777777,83.32509578252156,83.32509578252156,2022-07-24 06:07:38,2022-08-12 01:12:23
B323_int_peakid.csv_peakID_2,interval 7,peakID_2,799.814838,799.814838,46.322175925925926,17.266348611925935,17.266348611925935,2022-09-09 02:16:04,2022-10-25 10:00:00
