response,predictor,peakID,r2,p,n,slope,slope_std_err,intercept,intercept_std_err
MnCa_mean,S_mean,4,0.003175982719694992,0.40878394257172457,217,0.00024027858846065593,0.00029031269223369163,0.00721409170634152,0.008310598673250971
MnCa_mean,Chl_mean,1,0.012804978471861017,0.0948427051525013,219,-0.0001585640371935386,9.451198396925567e-05,0.015571512985882958,0.0008920330217197695
MnCa_mean,Chl_mean,2,0.0045567904760253075,0.329143252037709,211,-8.814423189064793e-05,9.011549420033098e-05,0.014816558831252599,0.0008328284985854636
MnCa_mean,Chl_mean,3,0.005478609308586457,0.2927394690213057,204,-8.80418080593291e-05,8.346130419203687e-05,0.014563139725376175,0.0008073727405397862
MnCa_mean,Chl_mean,4,0.0012542918044684548,0.6106877443570184,209,-4.745894152585136e-05,9.308100118812916e-05,0.014551270002581997,0.0008937049544831172
MnCa_mean,growth_mean,1,0.007653209093069546,0.37486231024319006,105,-1.7685966880599985e-05,1.9843585210784267e-05,0.015855077888747862,0.0013005993608406455
MnCa_mean,growth_mean,2,0.0028775452442003635,0.5867949774494328,105,-1.3931774762103656e-05,2.555353572636581e-05,0.016434955395801906,0.0016268157201319458
MnCa_mean,growth_mean,3,0.0007549878533773535,0.7787568676984019,107,6.347286178867354e-06,2.2535097553539852e-05,0.014835623003372357,0.0014072309142101407
MnCa_mean,growth_mean,4,0.0015114119928828496,0.6937658115113696,105,-1.2264814127459305e-05,3.106150391856102e-05,0.017036565908782657,0.0018204131950390798
SrCa_mean,T_mean,1,0.1032160450395021,1.959949986525567e-07,251,0.02888897811688098,0.0053963836032056,1.8446175794750772,0.07041846772338188
SrCa_mean,T_mean,2,0.10095055726981617,4.7051964373068517e-07,241,0.026553593882638435,0.005125801525883204,1.8715220097072125,0.0693887010707663
SrCa_mean,T_mean,3,0.05937262142495947,0.00013303136574916905,241,0.02145621371832681,0.005524205570670366,1.942353173290988,0.06524173297760763
SrCa_mean,T_mean,4,0.10139819053245736,4.424233104109425e-07,241,0.025396372278472915,0.00489036501670593,1.9019948089574454,0.0620877682773433
SrCa_mean,S_mean,1,0.12133756382116379,2.605447329808632e-08,242,0.08434831216965484,0.014651570204365917,-0.22183742334096856,0.4223104777086106
SrCa_mean,S_mean,2,0.08264079973140503,7.193147024691198e-06,236,0.06422577528510928,0.013988588073247194,0.35485160376969893,0.4047987311703283
