specimen,138Ba/43Ca,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca
B255_int,0.0006959520002606,4.33784738642504,0.1641948675505323,0.0013443858926972,0.4706423975339803
B323_int,0.0012042555588483,4.902182193821201,0.512840422199828,0.0040193882920843,0.503954874009038
B325_int,0.000499117748731,3.4388444417678934,0.2799026076362881,0.0022729254979134,0.4286004064871425
G652_sub,0.0013145021764769,6.854233320662638,0.2607227927672437,0.0038976783896089,0.4947484041682963
G664_sub,0.0022618508951877,3.214857393988006,0.7466239196962434,0.0062471054111898,0.3774575881075167
G668_sub,0.0006507174673952,2.2107003621751,0.122570308038124,0.0011899966773225,0.3649534954979142
G691_int,0.000549037773733,2.666487159503819,0.2784738563266777,0.0013876999361346,0.2653820225987989
G717_sub,0.0006093312941524,2.271763153634605,0.1143093447216458,0.0013707594455997,0.3187395784780334
G719_int,0.0007775434738183,4.282505590084388,0.2504892976117277,0.0029010039213968,0.4197582032736256
G723_sub,0.0007025411099975,2.6905922621535847,0.3027960183967541,0.0014378290060786,0.3233304697464549
G728_int,0.000594602612507,3.563340098471298,0.1694239695608919,0.0018776826637768,0.3959257138153515
G730_sub,0.0007454550710428,5.282640055242561,0.2186073428452452,0.0050256185090017,0.4493403230081197
G732_sub,0.0012646726933304,4.418285141996299,0.2294626507736241,0.0011043084230291,0.4141246513705603
G737_sub,0.0296308130764769,4.238205655578402,7.421905056730925,0.0514073005457724,0.4966882019133133
G753_sub,0.0007004178604156,4.6893374786187305,0.1745117378996215,0.0032800168861683,0.4206696616159073
G767_sub,0.0005086087715316,1.9151745636096853,0.1248076566686675,0.0010035590647601,0.2309140595428616
G770_sub,0.0041722419991425,5.437700807304767,0.4068631528295108,0.0093814936245152,0.7689936121153393
G779_int,0.0008455577999994,4.695732890485864,0.2194405067781639,0.0015752774702269,0.4915217753079137
G781_sub,0.0009497788902239,6.053347856557727,0.3077409026938691,0.0012004811016771,0.4818596370250155
