response,predictor,specimen,r2,p
MgCa_mean,S_mean,G779,0.05027837611853658,0.42174264787173477
MgCa_mean,S_mean,G781,0.0273494658994885,0.555851265579699
MgCa_mean,growth_mean,B255,0.28527848345204687,0.17269866039866413
MgCa_mean,growth_mean,B323,0.23176639215711536,0.22710933770507727
MgCa_mean,growth_mean,B325,0.3450407449350519,0.1257442272218996
MgCa_mean,growth_mean,G652,0.3229508606511513,0.14164531189965415
MgCa_mean,growth_mean,G664,0.1400591127839691,0.36105860192018824
MgCa_mean,growth_mean,G668,0.12922500646129642,0.38179320068761646
MgCa_mean,growth_mean,G691,0.008699283841456906,0.8261304213632906
MgCa_mean,growth_mean,G717,3.381969281235353e-05,0.9890962393538372
MgCa_mean,growth_mean,G719,0.18475266157279313,0.2878344372254718
MgCa_mean,growth_mean,G723,0.024835927300401184,0.7093669464614616
MgCa_mean,growth_mean,G728,0.1932800182429283,0.2757393490903289
MgCa_mean,growth_mean,G730,0.10547704581123385,0.4325170097127737
MgCa_mean,growth_mean,G732,0.07413923930874189,0.5141377481591611
MgCa_mean,growth_mean,G737,0.01123284145880088,0.8027610646387172
MgCa_mean,growth_mean,G753,0.1343183295618665,0.41874859149599053
MgCa_mean,growth_mean,G767,0.1760375968437058,0.30075831731181046
MgCa_mean,growth_mean,G770,0.05366040624964641,0.5809492975722168
MgCa_mean,growth_mean,G779,0.1449814613406213,0.3520703018478758
MgCa_mean,growth_mean,G781,0.24439033981765812,0.21302595412605027
MnCa_mean,T_mean,B255,0.1953337723439369,0.09905321522905751
MnCa_mean,T_mean,B323,0.15922590048184948,0.14064573183615048
MnCa_mean,T_mean,B325,0.22763659529398794,0.07212024274479782
MnCa_mean,T_mean,G652,0.04755517231643769,0.4349298549972388
MnCa_mean,T_mean,G664,0.010378093863365079,0.7179012551895902
MnCa_mean,T_mean,G668,0.03228118471522734,0.5216939629407891
MnCa_mean,T_mean,G691,0.18506842822001224,0.10946581584553466
MnCa_mean,T_mean,G717,0.0021710071031568745,0.8690300143615025
MnCa_mean,T_mean,G719,0.026666303483416587,0.5608970503584445
MnCa_mean,T_mean,G723,0.001757019476739674,0.8820878649460644
MnCa_mean,T_mean,G728,0.22053793097505214,0.07736296624225766
MnCa_mean,T_mean,G730,8.682303246021483e-06,0.9916846858381602
MnCa_mean,T_mean,G732,0.0008895244022641968,0.9159690911079507
MnCa_mean,T_mean,G737,0.0043892903014316476,0.8145285217927201
MnCa_mean,T_mean,G753,0.07354800844396814,0.34831420680107394
MnCa_mean,T_mean,G767,0.22716848990139848,0.07245538365614479
MnCa_mean,T_mean,G770,0.07459678305022543,0.3246568075605354
MnCa_mean,T_mean,G779,0.06609814751121346,0.3549519143760199
MnCa_mean,T_mean,G781,0.009487639038420537,0.7298379965110215
MnCa_mean,S_mean,B255,0.10972937443085085,0.2277926333186459
MnCa_mean,S_mean,B323,0.10877866460067376,0.2299405435699379
MnCa_mean,S_mean,B325,0.11697463450911005,0.21211983118147046
MnCa_mean,S_mean,G652,0.00012723771728662125,0.9681745368694047
MnCa_mean,S_mean,G664,1.1108189039266136e-05,0.9905945216879195
MnCa_mean,S_mean,G668,0.00012158974079201634,0.9688885852454912
MnCa_mean,S_mean,G691,0.0820531549861997,0.30063959093431686
MnCa_mean,S_mean,G717,0.001961488099516906,0.8754623926552489
MnCa_mean,S_mean,G719,0.1371250508117342,0.17425616830561977
MnCa_mean,S_mean,G723,0.027513751245387352,0.554650183401541
MnCa_mean,S_mean,G728,0.11786561012347985,0.21027404335920027
MnCa_mean,S_mean,G730,0.0031374416041718423,0.842833031769942
MnCa_mean,S_mean,G732,0.10619370653060856,0.23589327143114228
MnCa_mean,S_mean,G737,0.004944134046268034,0.8033539975706048
MnCa_mean,S_mean,G753,0.006176894191637805,0.789419802694454
MnCa_mean,S_mean,G767,0.06606706358120573,0.3550690602525053
MnCa_mean,S_mean,G770,0.0021460431227536825,0.8697792419493716
MnCa_mean,S_mean,G779,0.046692184847306306,0.43923145985324885
MnCa_mean,S_mean,G781,0.012194577733022016,0.6952149111441708
MnCa_mean,growth_mean,B255,0.484104908416939,0.0553074331508275
MnCa_mean,growth_mean,B323,0.3928144648759425,0.0963245200037187
MnCa_mean,growth_mean,B325,0.49213358490873715,0.052484427278027546
MnCa_mean,growth_mean,G652,0.3903090117841378,0.09771412889814818
MnCa_mean,growth_mean,G664,0.16670463533885815,0.3152730530112958
MnCa_mean,growth_mean,G668,0.008164485708746727,0.8314995004281531
MnCa_mean,growth_mean,G691,0.231492973164234,0.22742378223716717
MnCa_mean,growth_mean,G717,0.0691210102856733,0.5292907050458369
MnCa_mean,growth_mean,G719,0.4012026068129544,0.09178632500410315
