File,Interval,total_growth,total_growth_centered,total_time_days,growth_rate,growth_rate_centered,start_date,end_date
B255_peakid.csv,interval 0,941.780751,991.6114135,46.32609147525463,20.329380722806242,21.40503077039589,2022-09-09 02:10:25.696537739,2022-10-25 10:00:00.000000000
B255_peakid.csv,interval 1,842.0818979999999,1391.6098554999999,27.985050274502314,30.09041933961562,49.726902108441834,2022-08-12 01:40:58.197899228,2022-09-09 01:19:26.541616416
B255_peakid.csv,interval 2,2255.130739,2817.2247705,18.798379858877315,119.96410094538233,149.86529645902428,2022-07-24 06:05:11.630026861,2022-08-12 01:14:51.649834338
B255_peakid.csv,interval 3,4132.759763000001,4695.092613500001,26.197551899594906,157.7536625879881,179.21875416048326,2022-06-28 01:11:28.844036847,2022-07-24 05:55:57.328162327
B255_peakid.csv,interval 4,1856.5443200000009,2417.1501340000013,26.90941101490741,68.99238035984895,89.82545670215288,2022-06-01 03:08:56.941381160,2022-06-28 00:58:30.053069547
B255_peakid.csv,interval 5,3394.0267399999993,3954.4465850000006,20.171984449756945,168.2544792979401,196.036567192954,2022-05-11 22:48:40.366769163,2022-06-01 02:56:19.823228751
B255_peakid.csv,interval 6,916.1309100000035,1584.7880000000032,16.931787377708336,54.107158893699676,93.59838773350455,2022-04-25 00:11:32.481822480,2022-05-11 22:33:18.911257302
B255_peakid.csv,interval 7,497.44894999999815,835.2628399999958,82.51140420284723,6.02885085771977,10.122998730533945,2022-02-01 10:00:00.000000000,2022-04-24 22:16:25.323126338
B323_int_peakid.csv,interval 0,799.814838,1081.3493530000003,46.32217303650463,17.266349688942665,23.344098130885023,2022-09-09 02:16:04.249645884,2022-10-25 10:00:00.000000000
B323_int_peakid.csv,interval 1,558.0739699999999,786.8145314999999,27.970102735532407,19.952517703520584,28.130555648637415,2022-08-12 01:51:50.242655406,2022-09-09 01:08:47.119005467
B323_int_peakid.csv,interval 2,1324.03068,1909.3619495,18.793024503888887,70.45330461448688,101.59950300202563,2022-07-24 06:09:01.698298027,2022-08-12 01:10:59.015434286
B323_int_peakid.csv,interval 3,1356.1292619999995,2355.828291499999,26.18633326267361,51.78767292070808,89.96403841151873,2022-06-28 01:19:29.806569744,2022-07-24 05:47:49.000465458
B323_int_peakid.csv,interval 4,1522.0359950000002,2132.630542500001,26.906449465972223,56.56770124667966,79.2609424441926,2022-06-01 03:11:01.444307888,2022-06-28 00:56:18.678168582
B323_int_peakid.csv,interval 5,1946.9647540000005,2374.754930000002,20.168062038333332,96.53702722152553,117.7482955717965,2022-05-11 22:51:32.159248007,2022-06-01 02:53:32.719360893
B323_int_peakid.csv,interval 6,695.0510400000003,1150.569085000001,16.926606538055555,41.06263346036543,67.97399599342094,2022-04-25 00:15:21.807414922,2022-05-11 22:29:40.612303242
B323_int_peakid.csv,interval 7,597.7202399999987,874.4688499999993,82.5240262890625,7.242984460141626,10.596536418823506,2022-02-01 10:00:00.000000000,2022-04-24 22:34:35.871375359
B325_int_peakid.csv,interval 0,578.9188650000001,845.7550544999999,46.31310547961805,12.500108964940317,18.261678756830687,2022-09-09 02:29:07.686560441,2022-10-25 10:00:00.000000000
B325_int_peakid.csv,interval 1,863.0311580000001,1570.0839245000002,27.9859980384375,30.83796249877049,56.10248104582731,2022-08-12 01:39:59.044508906,2022-09-09 01:19:49.275030687
B325_int_peakid.csv,interval 2,1402.2150619999998,1951.7244834999995,18.793879711782406,74.61019669722118,103.84893983738807,2022-07-24 06:08:14.457755550,2022-08-12 01:11:25.664854153
B325_int_peakid.csv,interval 3,1447.822728,1565.3502429999999,26.18723642678241,55.28734320813142,59.7753125793401,2022-06-28 01:18:58.826588332,2022-07-24 05:48:36.053863220
B325_int_peakid.csv,interval 4,1442.005604,2009.7854209999996,26.905413895138892,53.59536967615774,74.69817891792832,2022-06-01 03:11:51.667030763,2022-06-28 00:55:39.427571261
B325_int_peakid.csv,interval 5,390.09016000000156,1389.7475385000012,20.131617397951388,19.376990546209043,69.03307921207679,2022-05-11 23:18:03.094325626,2022-06-01 02:27:34.837508945
B325_int_peakid.csv,interval 6,944.869745,1504.2728269999998,16.932097756828703,55.80346620777893,88.84149197599143,2022-04-25 00:11:26.605091114,2022-05-11 22:33:39.851282021
B325_int_peakid.csv,interval 7,908.2903499999993,1027.5811999999987,82.54303285744213,11.003840282543088,12.449036150327876,2022-02-01 10:00:00.000000000,2022-04-24 23:01:58.038883133
G652_sub_peakid.csv,interval 0,914.713074,1464.2212644999995,46.31766928543981,19.74868528817672,31.61258515571043,2022-09-09 02:22:33.373737901,2022-10-25 10:00:00.000000000
G652_sub_peakid.csv,interval 1,1365.3692629999998,1464.8934479999996,27.9820994353125,48.794382500011714,52.35109150356859,2022-08-12 02:02:36.014436704,2022-09-09 01:36:49.405648284
G652_sub_peakid.csv,interval 2,1379.608858,1797.7974754999998,18.814576244756946,73.32659742386998,95.55343963704692,2022-07-24 06:08:37.530911474,2022-08-12 01:41:36.918459386
G652_sub_peakid.csv,interval 3,2635.2462889999997,3115.7987199999993,26.184029322650463,100.64326832694093,118.9961514939445,2022-06-28 01:28:48.149976970,2022-07-24 05:53:48.283454802
G652_sub_peakid.csv,interval 4,4222.444379,4445.230212,26.905880188206016,156.9338876655994,165.21407888928803,2022-06-01 03:33:59.439833926,2022-06-28 01:18:27.488095363
G652_sub_peakid.csv,interval 5,4130.10001,4740.548910000001,20.179790564108796,204.66515729581846,234.9156645080057,2022-05-11 23:08:01.234483144,2022-06-01 03:26:55.139223013
