time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
61.7882,0.000442323,83185.5879,60187.6495,8853.134009,201.5935016,1.30674478,0.189798297,0.009420171,0
61.89743,0.000884647,83186.00335,60187.80132,7752.403245,235.6980772,1.753460139,0.27007182,0.010834684,0
62.00651,0.00132697,83186.4188,60187.95315,7802.43436,231.0856245,2.48797746,0.268241055,0.005380598,0
62.11566,0.001769293,83186.83425,60188.10497,9603.687816,188.2708946,0.799947724,0.267741599,0.012975247,0
62.22488,0.002211617,83187.2497,60188.25679,8402.823349,210.1091057,1.840641856,0.241858782,0,0
62.33407,0.00265394,83187.66516,60188.40862,9103.313606,195.6154703,1.269087153,0.224244347,0.013723108,0
62.44322,0.003096263,83188.08061,60188.56044,7702.372331,235.9101147,2.017729547,0.215265361,0.01090914,0
62.55238,0.003538586,83188.49606,60188.71226,9153.350126,197.209892,2.103040991,0.245639011,0.027289259,0
62.66152,0.00398091,83188.91151,60188.86409,9103.313606,198.5826438,1.057570513,0.21664111,0.01829755,0
62.77063,0.004423233,83189.32696,60189.01591,8552.9251,207.7052497,1.580826841,0.245511968,0.014652026,0
62.87979,0.004865556,83189.74241,60189.16773,8703.028654,207.5804649,1.773915272,0.219142283,0.033568904,0
62.98902,0.00530788,83190.15786,60189.31955,8703.028654,211.152852,2.882641144,0.221134928,0.043160364,0
63.09817,0.005750203,83190.57331,60189.47138,8803.098691,207.513072,1.095452802,0.255904316,0.037906547,0
63.20731,0.006192526,83190.98876,60189.6232,8102.625251,220.9871193,1.195357045,0.274945405,0.041363588,0
63.31653,0.00663485,83191.40422,60189.77502,7902.497189,231.4387273,1.963750083,0.295537428,0.031852386,0
63.42561,0.007077173,83191.81967,60189.92685,7502.250675,241.8337361,1.29671692,0.279613621,0.016826288,0
63.53475,0.007519496,83192.23512,60190.07867,7502.250675,247.8321508,1.037371461,0.288936387,0.005608718,0
63.6439,0.007961819,83192.65057,60190.23049,8202.690482,221.9072627,1.651984306,0.248079741,0.015311555,0
63.75309,0.008404143,83193.06602,60190.38232,9253.423767,192.1580429,2.287136153,0.229775513,0.022483271,0
