Element,GR_slope,GR_slope_se,T_slope,T_slope_se,S_slope,S_slope_se,Chl_slope,Chl_slope_se,GR_slope_norm,GR_slope_norm_se,T_slope_norm,T_slope_norm_se,S_slope_norm,S_slope_norm_se,Chl_slope_norm,Chl_slope_norm_se,Intercept,R_squared,P_value,Std_err,RSE,peakID
NaCa_mean,-0.39522419233585904,0.21674726497747007,-7.55363535571926,3.2545871483407165,3.8899166617052767,7.26707596422754,-5.06654227545398,1.3341098174000379,-0.0073234680951295966,0.004016306973486557,-0.13996817148997634,0.06030720185124026,0.07207979955969641,0.13465825220455468,-0.09388256444428691,0.024720932758148573,94.69333046483467,0.08822329541406582,0.069134118549,0.21674726497747007,0.004016306973486557,All
MgCa_mean,-0.0140954606815036,0.008053866403949329,-0.14082018454586898,0.12093352179309469,-0.05016140447309305,0.2700290542043222,-0.17494726053077564,0.049572677369903645,-0.006325567158079168,0.00361430349610571,-0.06319534740193931,0.05427088415556839,-0.022510745828583707,0.12117992846047468,-0.07851042762025894,0.02224654496894861,7.503733606651097,0.06349835404335014,0.08101372718495456,0.008053866403949329,0.00361430349610571,All
MnCa_mean,-0.0012290214322681773,0.0006452940321774263,-0.011866103826973649,0.009689467888990042,0.0029415628938788915,0.021635339904212816,-0.013282548493019809,0.0039718752784587445,-0.011471841654411116,0.00602325619661009,-0.11075971548081208,0.09044272005318474,0.02745692048086811,0.2019470019025136,-0.12398098932884301,0.03707398672573057,0.3374979946553738,0.05987401583378149,0.057694667737153725,0.0006452940321774263,0.00602325619661009,All
SrCa_mean,0.0012645939430803782,0.00041691700378036306,0.04242162863721555,0.006260253030502278,-0.002090228805822849,0.013978342645130815,0.014324395359076484,0.002566182635994078,0.0006358595541319476,0.00020963303009981224,0.02133032347530107,0.0031477627443257023,-0.0010510029434956673,0.0070285507616665265,0.007202552009734862,0.0012903207038693105,1.364216075040395,0.37064273790923785,0.002609859501057942,0.00041691700378036306,0.00020963303009981224,All
BaCa_mean,-9.924675442883747e-05,7.291995415690156e-05,-0.0014801304909739495,0.00109506491807956,0.00032368505244947585,0.0024429992480006334,-0.0012208952777552115,0.0004502534688609583,-0.008996880346159917,0.006610312913229987,-0.13417624586951984,0.09926942292408641,0.029342578540606314,0.22146187093483388,-0.11067615049347845,0.040816212158253165,0.03466214855110746,0.044011660537982,0.1744278875868484,7.291995415690156e-05,0.006610312913229987,All
NaCa_mean,-0.2807449847119916,0.4274119961877274,-10.58005519110061,7.292039836365121,6.794003827537441,15.210362461726207,-6.609056767917285,3.309711328534445,-0.004753091960169605,0.007236205928465712,-0.17912332545694462,0.12345629595135954,0.11502440552289023,0.2575157365758933,-0.11189319951741382,0.05603434847563777,58.8434679924436,0.09559795228961698,0.5131402081209144,0.4274119961877274,0.007236205928465712,1
MgCa_mean,-0.010232828652333614,0.01514817634231096,-0.24583614902964618,0.2584417525049967,0.09606705272516369,0.539079985718266,-0.2156512685309237,0.11730155282015843,-0.004378276228258011,0.006481384828609967,-0.10518485200057881,0.11057835715092522,0.041103795202265286,0.2306538266974396,-0.09226977746640036,0.05018930910497838,4.794429167521413,0.0705372509384371,0.501272257053595,0.01514817634231096,0.006481384828609967,1
MnCa_mean,-0.0007708730046932838,0.0011512707153146387,-0.023272313691498632,0.019641732083784617,0.014071193293727854,0.040970410348087634,-0.016542466274414247,0.008914990132876912,-0.006945620295364993,0.010373030573213943,-0.20968519238793082,0.17697339531501274,0.12678244681795053,0.3691462950325165,-0.1490487911646072,0.08032469164557841,0.15992920900340085,0.0784752522163853,0.5050269583127184,0.0011512707153146387,0.010373030573213943,1
SrCa_mean,0.0006531634905241322,0.0007607554863427854,0.04429248675504709,0.01297918486524736,0.003894215423088574,0.027073097608936097,0.014750707168875698,0.005890992938549969,0.0003294960647966054,0.00038377212238428716,0.02234386994614877,0.0065475036486422515,0.0019644831286394836,0.013657344988527415,0.007441169072710207,0.0029717812142855678,1.1970568023152692,0.3489888451145521,0.3931101982978178,0.0007607554863427854,0.00038377212238428716,1
BaCa_mean,-6.241521617303863e-05,0.0001382469740920569,-0.0024031703215102434,0.002367679485407941,0.0013899237818279955,0.0049175355062816934,-0.001567916163092785,0.001079064073731624,-0.005325447141031693,0.011795632508805652,-0.2050454569061838,0.20201727590734148,0.11859232546222066,0.41957838182033064,-0.13377915130456156,0.09206887420709424,0.01677151111532193,0.050718453198709046,0.65286794554661,0.0001382469740920569,0.011795632508805652,1
