response,predictor,r2,p
NaCa_mean,T_mean,0.04528915782920606,0.00030381518619680865
NaCa_mean,S_mean,0.005433803661801018,0.21554447558059658
NaCa_mean,growth_mean,0.11209695737429326,2.6464294324581345e-05
MgCa_mean,T_mean,0.00015586999752881248,0.8340753649936159
MgCa_mean,S_mean,0.0038182415537618697,0.2993933100878019
MgCa_mean,growth_mean,0.05086593917169224,0.0053634277078651645
MnCa_mean,T_mean,0.002935176804825357,0.3630054419874804
MnCa_mean,S_mean,0.0018139412800093346,0.47466777442821617
MnCa_mean,growth_mean,0.10829990921096277,3.6939109858226506e-05
SrCa_mean,T_mean,0.13526331471937902,1.592889500743138e-10
SrCa_mean,S_mean,0.0906685259169222,2.308633752090791e-07
SrCa_mean,growth_mean,0.1418526316199148,1.8754860806832362e-06
BaCa_mean,T_mean,0.030632700357370646,0.003135520945929689
BaCa_mean,S_mean,0.04728465938873805,0.00022772190293927745
BaCa_mean,growth_mean,0.012233440097074388,0.17784063611009104
