specimen,start_date,end_date,start_distance_mm,end_distance_mm,true_spike_count,peakID,identified_spike_count
G753,2022-01-19,2022-03-01,0.8474450841136114,1.4547591036083498,1,peakID_1,1
G753,2022-01-19,2022-03-01,0.8474450841136114,1.4547591036083498,1,peakID_2,1
G753,2022-01-19,2022-03-01,0.8474450841136114,1.4547591036083498,1,peakID_3,1
G753,2022-01-19,2022-03-01,0.8474450841136114,1.4547591036083498,1,peakID_4,1
G753,2022-03-01,2022-04-24,1.4547591036083498,9.349841357039935,0,peakID_1,3
G753,2022-03-01,2022-04-24,1.4547591036083498,9.349841357039935,0,peakID_2,4
G753,2022-03-01,2022-04-24,1.4547591036083498,9.349841357039935,0,peakID_3,4
G753,2022-03-01,2022-04-24,1.4547591036083498,9.349841357039935,0,peakID_4,4
G753,2022-04-24,2022-10-11,9.349841357039935,20.457810681346903,7,peakID_1,1
G753,2022-04-24,2022-10-11,9.349841357039935,20.457810681346903,7,peakID_2,1
G753,2022-04-24,2022-10-11,9.349841357039935,20.457810681346903,7,peakID_3,0
G753,2022-04-24,2022-10-11,9.349841357039935,20.457810681346903,7,peakID_4,1
G767,2022-01-19,2022-03-01,-0.2888198555862198,0.2793126142636976,1,peakID_1,0
G767,2022-01-19,2022-03-01,-0.2888198555862198,0.2793126142636976,1,peakID_2,0
G767,2022-01-19,2022-03-01,-0.2888198555862198,0.2793126142636976,1,peakID_3,0
G767,2022-01-19,2022-03-01,-0.2888198555862198,0.2793126142636976,1,peakID_4,0
G767,2022-03-01,2022-04-24,0.2793126142636976,5.588412591137044,0,peakID_1,5
G767,2022-03-01,2022-04-24,0.2793126142636976,5.588412591137044,0,peakID_2,5
G767,2022-03-01,2022-04-24,0.2793126142636976,5.588412591137044,0,peakID_3,5
G767,2022-03-01,2022-04-24,0.2793126142636976,5.588412591137044,0,peakID_4,5
G767,2022-04-24,2022-10-11,5.588412591137044,16.28497564417339,7,peakID_1,2
G767,2022-04-24,2022-10-11,5.588412591137044,16.28497564417339,7,peakID_2,2
G767,2022-04-24,2022-10-11,5.588412591137044,16.28497564417339,7,peakID_3,2
G767,2022-04-24,2022-10-11,5.588412591137044,16.28497564417339,7,peakID_4,2
G781,2022-01-19,2022-03-01,0.6711281107119138,2.0228915734582635,1,peakID_1,1
G781,2022-01-19,2022-03-01,0.6711281107119138,2.0228915734582635,1,peakID_2,2
G781,2022-01-19,2022-03-01,0.6711281107119138,2.0228915734582635,1,peakID_3,2
G781,2022-01-19,2022-03-01,0.6711281107119138,2.0228915734582635,1,peakID_4,1
G781,2022-03-01,2022-04-24,2.0228915734582635,10.290198548515658,0,peakID_1,4
G781,2022-03-01,2022-04-24,2.0228915734582635,10.290198548515658,0,peakID_2,3
G781,2022-03-01,2022-04-24,2.0228915734582635,10.290198548515658,0,peakID_3,4
G781,2022-03-01,2022-04-24,2.0228915734582635,10.290198548515658,0,peakID_4,5
G781,2022-04-24,2022-10-11,10.290198548515658,20.496992230991726,7,peakID_1,1
G781,2022-04-24,2022-10-11,10.290198548515658,20.496992230991726,7,peakID_2,1
G781,2022-04-24,2022-10-11,10.290198548515658,20.496992230991726,7,peakID_3,0
G781,2022-04-24,2022-10-11,10.290198548515658,20.496992230991726,7,peakID_4,0
G770,2022-01-19,2022-03-01,0.9258081834032568,1.1217159316273648,1,peakID_1,0
G770,2022-01-19,2022-03-01,0.9258081834032568,1.1217159316273648,1,peakID_2,0
G770,2022-01-19,2022-03-01,0.9258081834032568,1.1217159316273648,1,peakID_3,0
G770,2022-01-19,2022-03-01,0.9258081834032568,1.1217159316273648,1,peakID_4,0
G770,2022-03-01,2022-04-24,1.1217159316273648,5.4316863925577605,0,peakID_1,4
G770,2022-03-01,2022-04-24,1.1217159316273648,5.4316863925577605,0,peakID_2,3
G770,2022-03-01,2022-04-24,1.1217159316273648,5.4316863925577605,0,peakID_3,4
G770,2022-03-01,2022-04-24,1.1217159316273648,5.4316863925577605,0,peakID_4,4
G770,2022-04-24,2022-10-11,5.4316863925577605,14.267125837465063,7,peakID_1,2
G770,2022-04-24,2022-10-11,5.4316863925577605,14.267125837465063,7,peakID_2,2
G770,2022-04-24,2022-10-11,5.4316863925577605,14.267125837465063,7,peakID_3,1
G770,2022-04-24,2022-10-11,5.4316863925577605,14.267125837465063,7,peakID_4,2
G730,2022-01-19,2022-03-01,0.12258641568441037,0.22054028979646267,1,peakID_1,0
G730,2022-01-19,2022-03-01,0.12258641568441037,0.22054028979646267,1,peakID_2,0
G730,2022-01-19,2022-03-01,0.12258641568441037,0.22054028979646267,1,peakID_3,0
G730,2022-01-19,2022-03-01,0.12258641568441037,0.22054028979646267,1,peakID_4,0
G730,2022-03-01,2022-04-24,0.22054028979646267,7.527899298555722,0,peakID_1,5
G730,2022-03-01,2022-04-24,0.22054028979646267,7.527899298555722,0,peakID_2,5
G730,2022-03-01,2022-04-24,0.22054028979646267,7.527899298555722,0,peakID_3,6
G730,2022-03-01,2022-04-24,0.22054028979646267,7.527899298555722,0,peakID_4,5
G730,2022-04-24,2022-10-11,7.527899298555722,18.048145378190366,7,peakID_1,1
G730,2022-04-24,2022-10-11,7.527899298555722,18.048145378190366,7,peakID_2,1
G730,2022-04-24,2022-10-11,7.527899298555722,18.048145378190366,7,peakID_3,0
G730,2022-04-24,2022-10-11,7.527899298555722,18.048145378190366,7,peakID_4,1
G664,2022-01-19,2022-03-01,1.5331222028979916,2.434297844728894,1,peakID_1,2
G664,2022-01-19,2022-03-01,1.5331222028979916,2.434297844728894,1,peakID_2,1
G664,2022-01-19,2022-03-01,1.5331222028979916,2.434297844728894,1,peakID_3,1
G664,2022-01-19,2022-03-01,1.5331222028979916,2.434297844728894,1,peakID_4,2
G664,2022-03-01,2022-04-24,2.434297844728894,6.117363511342138,0,peakID_1,2
G664,2022-03-01,2022-04-24,2.434297844728894,6.117363511342138,0,peakID_2,2
G664,2022-03-01,2022-04-24,2.434297844728894,6.117363511342138,0,peakID_3,2
G664,2022-03-01,2022-04-24,2.434297844728894,6.117363511342138,0,peakID_4,2
G664,2022-04-24,2022-10-11,6.117363511342138,15.364209227520078,7,peakID_1,2
G664,2022-04-24,2022-10-11,6.117363511342138,15.364209227520078,7,peakID_2,3
