specimen,category,element,mean,std,se,cl95,N,growth_rate,start_date,end_date
B255,peak 5,43Ca/43Ca,1000.0,0.0,0.0,0.0,284,,2022-06-01 03:00:00.000000000,2022-06-01 03:00:00.000000000
B255,peak 5,55Mn/43Ca,0.0066229010985915495,0.0012108942503154497,7.185335431433862e-05,0.00014143484377029096,284,,2022-06-01 03:00:00.000000000,2022-06-01 03:00:00.000000000
B255,peak 5,88Sr/43Ca,5.276648489232395,4.356705452659214,0.2585229060684552,0.5088718150982277,284,,2022-06-01 03:00:00.000000000,2022-06-01 03:00:00.000000000
B255,peak 5,138Ba/43Ca,0.006648449616197184,0.0021710653534747233,0.0001288290270121978,0.0002535847279841288,284,,2022-06-01 03:00:00.000000000,2022-06-01 03:00:00.000000000
B255,peak 6,Ca43,431324.5311872118,64082.15396373418,1336.4958526905823,2620.864142699438,2299,,2022-05-11 22:45:00.000000000,2022-05-11 22:45:00.000000000
B255,peak 6,23Na/43Ca,20.237376401194865,4.669919956950695,0.09739573764005689,0.19099273366146663,2299,,2022-05-11 22:45:00.000000000,2022-05-11 22:45:00.000000000
B255,peak 6,25Mg/43Ca,0.7256601825502392,0.17042429924745567,0.0035543650619301154,0.0069700986517262165,2299,,2022-05-11 22:45:00.000000000,2022-05-11 22:45:00.000000000
B255,peak 6,43Ca/43Ca,1000.0,0.0,0.0,0.0,2299,,2022-05-11 22:45:00.000000000,2022-05-11 22:45:00.000000000
B255,peak 6,55Mn/43Ca,0.006973919271422358,0.0013688252203324291,2.854818567846342e-05,5.5982901879705656e-05,2299,,2022-05-11 22:45:00.000000000,2022-05-11 22:45:00.000000000
B255,peak 6,88Sr/43Ca,2.2766120372601133,0.5962343446789053,0.012435049067576776,0.0243850919165293,2299,,2022-05-11 22:45:00.000000000,2022-05-11 22:45:00.000000000
B255,peak 6,138Ba/43Ca,0.005054822911265767,0.0012450876157939468,2.5967517191865124e-05,5.092221913452263e-05,2299,,2022-05-11 22:45:00.000000000,2022-05-11 22:45:00.000000000
B255,peak 7,Ca43,408966.6972630769,67228.12329701279,2407.152952337389,4725.274749778998,780,,2022-04-25 00:00:00.000000000,2022-04-25 00:00:00.000000000
B255,peak 7,23Na/43Ca,20.90080419703846,5.140356197836451,0.18405427655657342,0.36130110666923587,780,,2022-04-25 00:00:00.000000000,2022-04-25 00:00:00.000000000
B255,peak 7,25Mg/43Ca,0.786242743670513,0.2966602071810043,0.010622139344896848,0.020851407379966137,780,,2022-04-25 00:00:00.000000000,2022-04-25 00:00:00.000000000
B255,peak 7,43Ca/43Ca,1000.0,0.0,0.0,0.0,780,,2022-04-25 00:00:00.000000000,2022-04-25 00:00:00.000000000
B255,peak 7,55Mn/43Ca,0.007330726044871795,0.0020271395430526587,7.258323892667541e-05,0.0001424819082744035,780,,2022-04-25 00:00:00.000000000,2022-04-25 00:00:00.000000000
B255,peak 7,88Sr/43Ca,2.1823696294589743,0.7680510235485766,0.027500638099217323,0.05398413536076301,780,,2022-04-25 00:00:00.000000000,2022-04-25 00:00:00.000000000
B255,peak 7,138Ba/43Ca,0.005329041344871796,0.003909178681715593,0.0001399710499627199,0.0002747651192861102,780,,2022-04-25 00:00:00.000000000,2022-04-25 00:00:00.000000000
B255,interval 0,Ca43,376127.72324695333,137075.29760218566,2961.0661658289678,5806.86425258412,2143,25.051074276790587,2022-09-09 02:10:25.696537739,2022-10-25 10:00:00.000000000
B255,interval 0,23Na/43Ca,44.56774550632104,56.508451920255624,1.2206813918438204,2.393844224047621,2143,25.051074276790587,2022-09-09 02:10:25.696537739,2022-10-25 10:00:00.000000000
B255,interval 0,25Mg/43Ca,1.1609764158408773,0.594605425397414,0.012844517122788645,0.025189024204443987,2143,25.051074276790587,2022-09-09 02:10:25.696537739,2022-10-25 10:00:00.000000000
B255,interval 0,43Ca/43Ca,1000.0,0.0,0.0,0.0,2143,25.051074276790587,2022-09-09 02:10:25.696537739,2022-10-25 10:00:00.000000000
B255,interval 0,55Mn/43Ca,0.034915770375174994,0.09159356930952578,0.001978581289511808,0.0038801405701386605,2143,25.051074276790587,2022-09-09 02:10:25.696537739,2022-10-25 10:00:00.000000000
B255,interval 0,88Sr/43Ca,1.1580041643019132,0.38366433561679997,0.008287820658446937,0.016253013886939092,2143,25.051074276790587,2022-09-09 02:10:25.696537739,2022-10-25 10:00:00.000000000
B255,interval 0,138Ba/43Ca,0.0014203620461969203,0.0020766687737630843,4.485967749980177e-05,8.797306208898045e-05,2143,25.051074276790587,2022-09-09 02:10:25.696537739,2022-10-25 10:00:00.000000000
B255,interval 1,Ca43,380192.75148441165,45352.48196918906,1023.625059898882,2007.506675910872,1963,49.726902108441834,2022-08-12 01:40:58.197899228,2022-09-09 01:19:26.541616416
