response,predictor,peakID,r2,p,n,slope,slope_std_err,intercept,intercept_std_err
MgCa_mean,T_mean,4,0.016958858793157283,0.1351664666156637,133,-0.19383464460863312,0.1289387006464941,4.556888742866572,1.6320155522615232
MgCa_mean,S_mean,1,0.005057459137304932,0.4071763505848037,138,-0.20301480163584293,0.24416929986212774,8.056276066295855,6.980985454342795
MgCa_mean,S_mean,2,0.009600016998090433,0.2600456591719163,134,-0.19570489043813533,0.17301510625715613,7.627763810864126,4.980669831799216
MgCa_mean,S_mean,3,0.006215943411009728,0.36886499571507947,132,-0.2513821411870962,0.2787759031105186,9.554889698058654,7.87773955344435
MgCa_mean,S_mean,4,0.0019771317429967405,0.6113090111283697,133,-0.15333968261533223,0.301003367346575,6.65019985854104,8.600829996945222
MgCa_mean,Chl_mean,1,0.03476336198349106,0.028553327450812627,138,-0.19447908939168493,0.08787381307414714,3.8352162956755746,0.8753623534227561
MgCa_mean,Chl_mean,2,0.03943721060469674,0.021434305768394987,134,-0.12017824718674841,0.05162364723866902,2.9961790803839907,0.5423484198446263
MgCa_mean,Chl_mean,3,0.029282640089459355,0.04978168432337285,132,-0.15649911130529784,0.07902808948735805,3.815307988754494,0.895996229807901
MgCa_mean,Chl_mean,4,0.02547126783652598,0.06650996800098492,133,-0.16044306494113597,0.08670763576615588,3.6707805644042155,0.964882821681797
MgCa_mean,growth_mean,1,0.020497184440711802,0.09389677845188557,138,-0.014260466758241438,0.008453178236641762,3.138374892201501,0.7313777053160689
MgCa_mean,growth_mean,2,0.018494103652622607,0.11716783296479823,134,-0.007888805736652103,0.0050021200302712565,2.4901755854577488,0.4581799749740006
MgCa_mean,growth_mean,3,0.030849872534333245,0.04396122048237687,132,-0.02662059352859722,0.01308624056482475,3.884884391432097,0.9080281486282626
MgCa_mean,growth_mean,4,0.016031041969224447,0.14643233885482118,133,-0.014961694821657386,0.010241297154281114,3.168798742824099,0.86008970185371
MnCa_mean,T_mean,1,0.027740941163197697,0.0508842585492852,138,-0.015115918496943218,0.007673535222679258,0.27975688349246824,0.09935931916103152
MnCa_mean,T_mean,2,0.029812965089135335,0.04604084616521942,134,-0.01081093426754456,0.005367862821902416,0.21457799773253655,0.07138048359083118
MnCa_mean,T_mean,3,0.002467611783590007,0.5716357205595011,132,-0.0056073212349521334,0.009888008833025834,0.18923174887812244,0.11806373200667988
