time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
62.22426,0,14171.958,46112.8146,2050.168114,1206.500344,16.06622438,3.362565516,0.107353343,0
62.3334,0.000428977,14171.958,46112.8146,1650.108907,1863.7524,17.08329725,5.040047809,0.342452844,0
62.44255,0.000857955,14172.18529,46112.45078,1400.078404,2891.445929,45.32699722,6.171755244,0.136291447,0
62.55168,0.001286932,14172.41257,46112.08697,1800.129609,1548.53893,30.26245851,3.697987774,0.209988074,0
62.66084,0.001715909,14172.63986,46111.72315,2000.160013,1244.806237,16.8520194,2.719532501,0.168906628,0
62.77,0.002144887,14172.86715,46111.35933,2000.160013,1237.386308,16.8520194,2.549541321,0,0
62.87913,0.002573864,14173.09443,46110.99552,2100.176415,1126.775026,22.17304045,2.477212342,0,0
62.98826,0.003002842,14173.32172,46110.6317,1900.144411,1306.664513,8.301782888,3.768117597,3.308220563,0
63.0974,0.003431819,14173.54901,46110.26788,1900.144411,1340.827614,24.90574716,2.967291703,0.873733251,0
63.2066,0.003860796,14173.77629,46109.90407,2200.193617,1039.81455,23.49121134,2.132365048,1.69544915,0
63.31572,0.004289774,14174.00358,46109.54025,2450.240124,876.5371975,22.10263609,1.799783519,1.016523689,0
63.42487,0.004718751,14174.23086,46109.17643,2000.160013,1212.010977,39.32232236,3.399524425,1.576619523,0
63.53403,0.005147728,14174.45815,46108.81262,2600.270428,762.0242277,12.97914592,2.490374569,0.67413843,0
63.64317,0.005576706,14174.68544,46108.4488,2400.230422,898.928866,12.1125706,2.229612184,0.36421912,0
63.75233,0.006005683,14174.91272,46108.08499,2050.168114,1211.715661,14.28105977,2.754790296,0.697827433,0
63.86147,0.006434661,14175.14001,46107.72117,2000.160013,1254.571043,22.46949402,3.017023612,0.168906628,0
63.97063,0.006863638,14175.3673,46107.35735,1600.102407,1994.257498,30.75999703,4.886450586,1.017438106,0
64.07975,0.007292615,14175.59458,46106.99354,2800.313635,691.3072777,12.60504465,1.930923917,0.252682523,0
64.18888,0.007721593,14175.82187,46106.62972,1600.102407,2044.926652,30.75999703,2.861897901,0.27747424,0
64.2981,0.00815057,14176.04916,46106.2659,2550.260127,817.9922756,7.304603763,1.823469609,0.256253026,0
64.40725,0.008579547,14176.27644,46105.90209,2050.168114,1181.549518,10.71075198,2.835824885,0.375744215,0
64.51639,0.009008525,14176.50373,46105.53827,1650.108907,1889.877073,11.38881927,4.910796168,0.513683375,0
64.62553,0.009437502,14176.73102,46105.17445,2200.193617,1029.690083,6.264185207,2.41671906,0.423816509,0
64.73471,0.00986648,14176.9583,46104.81064,1800.129609,1563.107221,16.29497442,3.962169385,0.209988074,0
64.84383,0.010295457,14177.18559,46104.44682,1850.13691,1460.693174,15.36095754,3.635444366,0.065983372,0
64.95298,0.010724434,14177.41288,46104.083,1950.152112,1276.390124,21.65618958,3.26154323,0.355189468,0
65.06213,0.011153412,14177.64016,46103.71919,1800.129609,1516.501153,18.62286516,3.750823674,0.069995465,0
65.17126,0.011582389,14177.86745,46103.35537,2150.184916,1060.672081,17.9615061,2.482736191,0.294591889,0
65.28045,0.012011366,14178.09473,46102.99155,1550.096106,2204.047174,30.10251116,4.326471327,0.20114279,0
65.3896,0.012440344,14178.32202,46102.62774,1800.129609,1524.266313,18.62286516,2.852642129,0.349982923,0
65.49874,0.012869321,14178.54931,46102.26392,1800.129609,1516.986446,27.93452122,3.90933264,0.489980013,0
65.60788,0.013298299,14178.77659,46101.9001,2100.176415,1122.506889,11.9391862,2.786908481,0.6667379,0
65.71706,0.013727276,14179.00388,46101.53629,2000.160013,1197.962697,5.617272392,2.847027672,0.563037858,0
65.82618,0.014156253,14179.23117,46101.17247,1750.122509,1573.873809,44.61507565,3.881142458,0.596232959,0
65.93534,0.014585231,14179.45845,46100.80866,1950.152112,1284.187829,15.74986156,2.993435258,0.532790596,0
66.04448,0.015014208,14179.68574,46100.44484,2050.168114,1156.240141,26.77736196,2.592723063,0.107353343,0
66.1536,0.015443185,14179.91303,46100.08102,2450.240124,861.077845,7.800758763,2.567037865,0.117280404,0
66.2628,0.015872163,14180.14031,46099.71721,1850.13691,1446.50543,21.94435673,3.236987704,0.263936656,0
66.37194,0.01630114,14180.3676,46099.35339,1900.144411,1367.221681,16.60369861,3.297036946,0.436854393,0
66.48108,0.016730118,14180.59489,46098.98957,1800.129609,1539.314177,41.90228466,3.645152086,0.559979397,0
66.59023,0.017159095,14180.82217,46098.62576,1950.152112,1270.234889,27.56258848,3.038119473,0.118394595,0
66.69942,0.017588072,14181.04946,46098.26194,2500.250025,834.1059588,7.544533335,1.854824403,1.172222548,0
66.80854,0.01801705,14181.27674,46097.89812,1300.067604,3922.19455,23.75544156,9.973617406,2.321582809,0
66.91768,0.018446027,14181.50403,46097.53431,1650.108907,1867.314307,22.77782077,4.070685706,0.342452844,0
67.02683,0.018875004,14181.73132,46097.17049,2150.184916,1045.35786,16.32860925,3.520494759,0.098195725,0
67.13596,0.019303982,14181.9586,46096.80667,1200.057603,5646.811091,60.27055494,16.21841182,1.553393004,0
67.24513,0.019732959,14182.18589,46096.44286,1450.084105,2714.642974,28.36994213,5.978348265,0.487460996,0
67.35429,0.020161937,14182.41318,46096.07904,2050.168114,1162.194034,16.06622438,3.078932541,0.322065182,0
67.46343,0.020590914,14182.64046,46095.71522,1650.108907,1869.095325,34.1670045,4.006063634,0.428067767,0
67.57258,0.021019891,14182.86775,46095.35141,2100.176415,1116.105462,13.64481152,2.515923817,0.256429448,0
67.6817,0.021448869,14183.09504,46094.98759,1650.108907,1889.877073,25.62509962,5.23392721,0.513683375,0
67.79091,0.021877846,14183.32232,46094.62377,2000.160013,1213.962451,18.72450345,3.144522353,0.112603968,0
67.90002,0.022306823,14183.54961,46094.25996,1700.115608,1666.258981,10.60046434,4.270104559,0.318747631,0
68.00916,0.022735801,14183.7769,46093.89614,2350.220921,897.3636008,13.94881478,2.532474983,0.251656931,0
68.11831,0.023164778,14184.00418,46093.53233,2050.168114,1161.821893,10.71075198,2.754790296,0.322065182,0
68.22736,0.023593756,14184.23147,46093.16851,2000.160013,1218.646312,20.59699499,2.464546751,0.506732045,0
68.33648,0.024022733,14184.45876,46092.80469,1250.062503,4582.216346,28.1169369,9.252092748,1.056821967,0
68.44561,0.02445171,14184.68604,46092.44088,1750.122509,1653.962776,22.30713628,3.824886365,0.223582888,0
68.55474,0.024880688,14184.91333,46092.07706,1950.152112,1291.16574,5.906139022,3.306228518,0.295990039,0
68.66382,0.025309665,14185.14061,46091.71324,2100.176415,1127.842125,18.76172841,2.515923817,0.205142737,0
68.77293,0.025738642,14185.3679,46091.34943,2000.160013,1238.167299,18.72450345,2.932025302,0.056301759,0
68.88208,0.02616762,14185.59519,46090.98561,2150.184916,1094.723684,6.531365323,3.186916828,0.343691912,0
68.99112,0.026596597,14185.82247,46090.62179,1300.067604,3912.286695,47.51126322,9.434427465,0.892887891,0
69.10034,0.027025574,14186.04976,46090.25798,1600.102407,2007.723348,30.75999703,4.956266937,0.832442699,0
69.20941,0.027454552,14186.27705,46089.89416,1950.152112,1288.702838,27.56258848,3.26154323,0.236791084,0
69.31853,0.027883529,14186.50433,46089.53034,2100.176415,1127.130723,22.17304045,2.477212342,0.307716568,0
69.42768,0.028312507,14186.73162,46089.16653,1550.096106,2202.652225,43.48175286,5.465180387,0.905167901,0
69.53682,0.028741484,14186.95891,46088.80271,1600.102407,1964.768876,15.37984471,4.746818722,0.462460767,0
69.64597,0.029170461,14187.18619,46088.43889,2250.202518,988.9097996,21.06343628,1.877831216,0.316677953,0
69.75517,0.029599439,14187.41348,46088.07508,2450.240124,838.850597,5.20048504,1.799783519,0.351849656,0
69.86428,0.030028416,14187.64077,46087.71126,1600.102407,2046.851437,21.53186873,5.165717665,0.647450253,0
69.97344,0.030457393,14187.86805,46087.34744,1800.129609,1563.592892,20.9507652,3.063973467,0.489980013,0
70.08259,0.030886371,14188.09534,46086.98363,2000.160013,1213.57215,16.8520194,2.804529112,1.238742749,0
