Number,Containers,Start,End,level
1,All,24-04-202114:00,25-04-202110:00,High
2,Intertidal,11-05-202111:00,12-05-202111:00,low
2,Subtidal,11-05-202112:00,12-05-202111:00,low
3,Intertidal,31-05-202115:00,01-06-202115:00,High
3,Subtidal,31-05-202115:00,01-06-202115:00,High
4,Intertidal,27-06-202113:00,28-06-202113:00,Low
4,Subtidal,27-06-202113:00,28-06-202113:00,Low
5,Intertidal,18-07-202118:00,29-07-202118:00,High
5,Subtidal,18-07-202118:00,29-07-202118:00,High
6,Intertidal,11-08-202113:00,12-08-202114:00,Low
6,Subtidal,11-08-202113:00,12-08-202114:00,Low
7,Intertidal,08-09-202114:00,09-09-202114:00,High
7,Subtidal,08-09-202114:00,09-09-202114:00,High
