NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.												
Intervals of 60 minutes 													
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC													
ET = excel decimal time 													
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)													
T_std = standard deviation of temperature within the interval 													
T_N = number of data points for temperature within the interval 													
T_max = maximum temperature within the interval 													
T_min = minimum temperature within the interval 													
T_flag = quality flag 													
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)													
S_std = standard deviation of salinity within the interval 													
S_N = number of data points for salinity within the interval 													
S_max = maximum salinity within the interval 													
S_min = minimum salinity within the interval 													
S_flag = quality flag 													
Quality flags:  -1=No flag available, 0=uncalibrated data, 1=OK, 1-2 : includes corrected data, 4-5 : includes missing data, fraction indicates how much missing or corrected data was incorporated (low end: none, high end: all), 9=missing 
Temperature in [degrees Celsius], Salinity in [PSU]												
													
TM 	ET 	T 	T_std 	T_N 	T_max 	T_min 	T_flag 	S 	S_std 	S_N 	S_max 	S_min 	S_flag 
202204260200	44677.08333	11.724	0.056	6	11.847	11.704	1	26.741	0.069	6	26.836	26.646	1
202204260300	44677.125	11.586	0.076	6	11.677	11.487	1	27.621	0.371	6	27.886	27.006	1
202204260400	44677.16667	11.417	0.041	6	11.444	11.358	1	27.955	0.063	6	28.065	27.925	1
202204260500	44677.20833	11.272	0.05	6	11.364	11.244	1	27.885	0.242	6	28.235	27.565	1
202204260600	44677.25	11.327	0.046	6	11.371	11.262	1	28.02	0.164	6	28.215	27.805	1
202204260700	44677.29167	11.439	0.106	6	11.639	11.377	1	27.65	0.361	6	27.795	26.885	1
202204260800	44677.33333	11.734	0.025	6	11.753	11.683	1	26.729	0.028	6	26.784	26.704	1
202204260900	44677.375	11.766	0.029	6	11.791	11.712	1	26.899	0.112	6	27.014	26.754	1
202204261000	44677.41667	11.869	0.045	6	11.918	11.799	1	26.824	0.164	6	26.964	26.634	1
202204261100	44677.45833	11.918	0.051	6	11.978	11.83	1	26.619	0.114	6	26.814	26.524	1
202204261200	44677.5	11.922	0.02	6	11.941	11.89	1	26.683	0.087	6	26.703	26.503	1
202204261300	44677.54167	11.711	0.167	6	11.943	11.569	1	26.983	0.414	6	27.453	26.543	1
202204261400	44677.58333	11.55	0.032	6	11.571	11.49	1	27.563	0.118	6	27.773	27.473	1
202204261500	44677.625	11.458	0.013	6	11.48	11.451	1	28.298	0.186	6	28.593	28.043	1
202204261600	44677.66667	11.202	0.162	6	11.456	11.011	1	29.562	0.474	6	29.852	28.692	1
202204261700	44677.70833	10.909	0.03	6	10.977	10.893	1	30.087	0.069	6	30.192	29.982	1
202204261800	44677.75	11.193	0.144	6	11.273	10.919	1	29.182	0.48	6	30.172	28.972	1
202204261900	44677.79167	11.376	0.159	6	11.559	11.185	1	28.542	0.507	6	29.122	28.052	1
202204262000	44677.83333	11.743	0.162	6	11.889	11.514	1	27.867	0.14	6	28.012	27.672	1
202204262100	44677.875	11.843	0.082	6	11.937	11.738	1	27.691	0.043	6	27.791	27.681	1
202204262200	44677.91667	11.809	0.014	6	11.823	11.786	1	27.646	0.083	6	27.701	27.471	1
202204262300	44677.95833	11.824	0.039	6	11.865	11.755	1	27.091	0.372	6	27.431	26.651	1
202204270000	44678	11.882	0.054	6	11.923	11.775	1	26.616	0.169	6	26.911	26.431	1
202204270100	44678.04167	11.902	0.014	6	11.915	11.879	1	26.565	0.045	6	26.6	26.47	1
202204270200	44678.08333	11.727	0.051	6	11.819	11.663	1	26.185	0.264	6	26.78	26.12	1
202204270300	44678.125	11.616	0.04	6	11.68	11.581	1	27.155	0.112	6	27.26	26.98	1
202204270400	44678.16667	11.443	0.105	6	11.609	11.347	1	27.71	0.473	6	28.07	26.99	1
202204270500	44678.20833	11.296	0.033	6	11.344	11.262	1	28.239	0.103	6	28.379	28.149	1
202204270600	44678.25	11.31	0.022	6	11.327	11.268	1	28.279	0.029	6	28.309	28.229	1
202204270700	44678.29167	11.328	0.063	6	11.369	11.227	1	27.619	0.288	6	28.179	27.359	1
202204270800	44678.33333	11.371	0.028	6	11.436	11.361	1	27.394	0.098	6	27.449	27.229	1
202204270900	44678.375	11.538	0.059	6	11.616	11.462	1	26.903	0.258	6	27.238	26.538	1
202204271000	44678.41667	11.551	0.059	6	11.617	11.478	1	27.033	0.182	6	27.278	26.798	1
202204271100	44678.45833	11.826	0.099	6	11.926	11.661	1	26.923	0.149	6	27.198	26.768	1
202204271200	44678.5	11.941	0.034	6	11.988	11.905	1	26.538	0.452	6	26.658	25.468	1
202204271300	44678.54167	11.909	0.016	6	11.943	11.9	1	26.363	0.235	6	26.548	25.938	1
202204271400	44678.58333	11.986	0.1	6	12.034	11.764	1	26.627	0.195	5	27.047	26.567	1
202204271500	44678.625	11.52	0.077	6	11.671	11.451	1	27.537	0.135	6	27.687	27.387	1
202204271600	44678.66667	11.499	0.045	6	11.603	11.482	1	28.027	0.291	6	28.087	27.357	1
202204271700	44678.70833	11.307	0.118	6	11.442	11.175	1	29.082	0.311	6	29.487	28.697	1
202204271800	44678.75	10.959	0.056	6	11.065	10.911	1	29.921	0.12	6	30.056	29.756	1
202204271900	44678.79167	11.063	0.11	6	11.231	10.962	1	29.756	0.488	5	29.956	28.736	1
202204272000	44678.83333	11.264	0.1	6	11.464	11.211	1	28.166	0.359	5	28.716	27.776	1
202204272100	44678.875	11.509	0.21	6	11.982	11.454	1	27.536	0.144	5	27.746	27.416	1
202204272200	44678.91667	11.9	0.075	6	11.95	11.771	1	27.305	0.119	6	27.415	27.085	1
202204272300	44678.95833	11.847	0.027	6	11.888	11.828	1	27.105	0.2	5	27.275	26.785	1
202204280000	44679	11.758	0.024	6	11.795	11.722	1	26.73	0.231	6	26.885	26.265	1
202204280100	44679.04167	11.708	0.022	6	11.717	11.661	1	26.43	0.202	6	26.735	26.295	1
202204280200	44679.08333	11.716	0.013	6	11.737	11.7	1	26.414	0.042	5	26.444	26.344	1
202204280300	44679.125	11.68	0.028	6	11.716	11.643	1	26.374	0.06	6	26.424	26.274	1
202204280400	44679.16667	11.575	0.03	6	11.607	11.533	1	27.034	0.226	5	27.104	26.544	1
202204280500	44679.20833	11.438	0.052	6	11.532	11.385	1	27.474	0.229	6	27.784	27.134	1
202204280600	44679.25	11.352	0.036	6	11.405	11.301	1	27.764	0.36	6	28.164	27.074	1
202204280700	44679.29167	11.318	0.032	6	11.379	11.292	1	28.263	0.037	6	28.303	28.203	1
202204280800	44679.33333	11.4	0.025	6	11.425	11.366	1	27.658	0.25	6	28.153	27.573	1
202204280900	44679.375	11.435	0.035	6	11.496	11.394	1	26.448	0.106	2	26.523	26.373	1
202204281000	44679.41667	11.598	0.028	6	11.637	11.553	1	    NaN 	    NaN 	    NaN 	    NaN 	    NaN 	9
202204281100	44679.45833	11.766	0.082	3	11.871	11.709	4.5	26.782	0.235	3	27.012	26.542	4.5
202204281200	44679.5	11.965	0.142	6	12.294	11.909	1	27.297	0.159	6	27.592	27.172	1
202204281300	44679.54167	11.845	0.103	6	12.039	11.792	1	27.222	0.156	6	27.512	27.092	1
202204281400	44679.58333	11.817	0.009	6	11.835	11.809	1	26.922	0.059	6	27.002	26.852	1
202204281500	44679.625	11.841	0.136	6	11.859	11.509	1	26.808	0.415	6	27.763	26.673	1
202204281600	44679.66667	11.5	0.022	6	11.549	11.49	1	27.818	0.052	6	27.843	27.703	1
202204281700	44679.70833	11.362	0.084	6	11.458	11.198	1	28.548	0.476	6	29.463	27.993	1
202204281800	44679.75	11.053	0.051	6	11.12	10.99	1	30.018	0.305	6	30.373	29.573	1
202204281900	44679.79167	10.912	0.038	6	10.949	10.859	1	30.698	0.232	6	30.963	30.453	1
202204282000	44679.83333	11.089	0.095	6	11.138	10.936	1	29.463	0.588	6	30.433	29.173	1
202204282100	44679.875	11.243	0.072	6	11.292	11.121	1	28.363	0.453	6	29.233	28.143	1
202204282200	44679.91667	11.283	0.038	6	11.334	11.229	1	28.088	0.078	6	28.193	27.983	1
202204282300	44679.95833	11.293	0.045	6	11.335	11.212	1	27.853	0.063	6	27.953	27.793	1
202204290000	44680	11.275	0.048	6	11.312	11.184	1	27.653	0.072	6	27.803	27.593	1
202204290100	44680.04167	11.392	0.056	6	11.471	11.326	1	27.479	0.082	6	27.524	27.334	1
202204290200	44680.08333	11.524	0.019	6	11.533	11.481	1	27.254	0.031	6	27.324	27.234	1
202204290300	44680.125	11.442	0.053	6	11.507	11.377	1	26.514	0.347	6	27.064	26.254	1
202204290400	44680.16667	11.415	0.022	6	11.433	11.378	1	26.844	0.569	6	27.674	26.414	1
202204290500	44680.20833	11.359	0.028	6	11.391	11.32	1	27.604	0.311	6	27.784	27.044	1
202204290600	44680.25	11.225	0.11	6	11.296	11.028	1	28.379	0.475	6	28.884	27.564	1
202204290700	44680.29167	11.081	0.04	6	11.118	11.012	1	28.839	0.153	6	29.184	28.774	1
202204290800	44680.33333	11.022	0.039	5	11.091	10.99	4.167	28.994	0.211	5	29.344	28.794	4.167
202204290900	44680.375	11.184	0.05	6	11.204	11.07	1	28.249	0.226	6	28.754	28.154	1
202204291000	44680.41667	11.3	0.04	6	11.339	11.239	1	27.8	0.163	6	28.045	27.635	1
202204291100	44680.45833	11.383	0.025	6	11.408	11.337	1	27.79	0.141	6	27.915	27.605	1
202204291200	44680.5	11.495	0.059	7	11.627	11.45	1	27.785	0.156	7	27.875	27.405	1
202204291300	44680.54167	11.65	0.048	6	11.723	11.587	1	27.475	0.103	6	27.675	27.365	1
202204291400	44680.58333	11.543	0.021	6	11.557	11.502	1	27.215	0.151	6	27.535	27.135	1
202204291500	44680.625	11.531	0.009	6	11.547	11.523	1	27.055	0.183	6	27.175	26.765	1
202204291600	44680.66667	11.361	0.102	6	11.52	11.287	1	27.68	0.568	6	28.055	26.735	1
202204291700	44680.70833	11.265	0.064	6	11.303	11.164	1	28.175	0.326	6	28.715	27.995	1
202204291800	44680.75	10.95	0.135	6	11.171	10.876	1	29.94	0.763	6	30.395	28.705	1
202204291900	44680.79167	10.919	0.099	6	11.013	10.779	1	30.16	0.585	6	30.915	29.525	1
202204292000	44680.83333	10.77	0.035	6	10.819	10.734	1	30.901	0.22	6	31.126	30.556	1
202204292100	44680.875	10.944	0.074	6	10.963	10.796	1	29.586	0.48	6	30.606	29.446	1
202204292200	44680.91667	11.142	0.07	6	11.201	11.017	1	28.426	0.287	6	28.976	28.256	1
202204292300	44680.95833	11.147	0.061	6	11.209	11.067	1	28.201	0.067	6	28.286	28.116	1
202204300000	44681	11.073	0.006	6	11.082	11.065	1	27.876	0.035	6	27.916	27.816	1
202204300100	44681.04167	11.118	0.069	6	11.229	11.059	1	27.721	0.078	6	27.856	27.626	1
202204300200	44681.08333	11.298	0.092	6	11.35	11.135	1	27.556	0.073	6	27.666	27.506	1
202204300300	44681.125	11.346	0.017	6	11.355	11.311	1	27.466	0.167	6	27.516	27.106	1
202204300400	44681.16667	11.253	0.029	6	11.301	11.222	1	26.816	0.322	6	27.556	26.686	1
202204300500	44681.20833	11.209	0.01	6	11.227	11.201	1	27.901	0.081	6	28.016	27.806	1
202204300600	44681.25	11.161	0.046	6	11.205	11.086	1	28.352	0.282	6	28.747	28.047	1
202204300700	44681.29167	10.992	0.044	6	11.055	10.949	1	29.077	0.202	6	29.317	28.817	1
202204300800	44681.33333	10.942	0.059	6	11.014	10.877	1	29.527	0.267	6	29.887	29.307	1
202204300900	44681.375	10.949	0.045	6	11.016	10.892	1	29.777	0.172	6	29.937	29.537	1
202204301000	44681.41667	11.081	0.056	6	11.191	11.052	1	29.247	0.248	6	29.377	28.717	1
202204301100	44681.45833	11.255	0.049	6	11.358	11.245	1	28.542	0.097	6	28.717	28.447	1
202204301200	44681.5	11.381	0.035	6	11.422	11.32	1	28.237	0.142	6	28.457	28.037	1
202204301300	44681.54167	11.449	0.026	6	11.462	11.39	1	28.102	0.108	6	28.217	27.917	1
202204301400	44681.58333	11.452	0.014	6	11.477	11.442	1	27.802	0.142	6	27.987	27.617	1
202204301500	44681.625	11.476	0.017	6	11.503	11.459	1	27.603	0.111	6	27.638	27.348	1
202204301600	44681.66667	11.539	0.023	6	11.569	11.512	1	27.228	0.116	6	27.388	27.118	1
202204301700	44681.70833	11.374	0.06	6	11.491	11.321	1	27.753	0.201	6	27.788	27.298	1
202204301800	44681.75	11.409	0.055	6	11.453	11.318	1	28.698	0.41	6	28.908	27.878	1
202204301900	44681.79167	11.127	0.2	6	11.423	10.985	1	29.758	0.721	6	30.228	28.588	1
202204302000	44681.83333	11.025	0.055	6	11.13	10.983	1	30.118	0.225	6	30.308	29.818	1
202204302100	44681.875	10.934	0.075	6	11.056	10.86	1	30.433	0.357	6	30.868	30.018	1
202204302200	44681.91667	11.079	0.04	6	11.107	10.992	1	29.423	0.284	6	30.048	29.218	1
202204302300	44681.95833	11.11	0.041	6	11.163	11.065	1	28.603	0.197	6	28.778	28.238	1
202205010000	44682	11.225	0.031	6	11.275	11.192	1	28.178	0.101	6	28.268	28.038	1
202205010100	44682.04167	11.189	0.041	6	11.25	11.134	1	27.884	0.157	6	28.089	27.709	1
202205010200	44682.08333	11.171	0.047	6	11.22	11.088	1	27.739	0.086	6	27.929	27.709	1
202205010300	44682.125	11.254	0.012	6	11.268	11.231	1	27.754	0.012	6	27.759	27.729	1
202205010400	44682.16667	11.257	0.026	6	11.272	11.201	1	27.509	0.152	6	27.719	27.349	1
202205010500	44682.20833	11.202	0.008	6	11.215	11.194	1	27.279	0.197	6	27.699	27.259	1
202205010600	44682.25	11.218	0.006	6	11.227	11.212	1	27.729	0.058	6	27.809	27.669	1
202205010700	44682.29167	11.123	0.088	6	11.226	11.046	1	28.419	0.586	6	29.169	27.779	1
202205010800	44682.33333	11.163	0.017	6	11.173	11.136	1	28.569	0.17	6	28.759	28.359	1
202205010900	44682.375	11.08	0.056	6	11.169	11.04	1	29.479	0.159	6	29.599	29.149	1
202205011000	44682.41667	11.43	0.135	6	11.49	11.146	1	28.845	0.388	6	29.66	28.68	1
202205011100	44682.45833	11.603	0.055	6	11.665	11.528	1	28.215	0.176	6	28.58	28.18	1
202205011200	44682.5	11.765	0.067	6	11.861	11.689	1	28.195	0.045	6	28.24	28.11	1
202205011300	44682.54167	12.109	0.119	6	12.206	11.907	1	28.185	0.094	6	28.27	28.01	1
202205011400	44682.58333	12.273	0.141	6	12.296	11.933	1	27.97	0.066	6	28.08	27.91	1
202205011500	44682.625	11.826	0.085	6	12.02	11.791	1	27.795	0.137	6	28.09	27.75	1
202205011600	44682.66667	11.788	0.014	6	11.795	11.763	1	27.67	0.023	6	27.7	27.63	1
202205011700	44682.70833	11.892	0.176	6	11.935	11.511	1	27.535	0.231	6	28.05	27.48	1
202205011800	44682.75	11.432	0.045	6	11.517	11.391	1	28.295	0.167	6	28.52	28.09	1
202205011900	44682.79167	11.242	0.229	6	11.481	10.967	1	29.935	0.979	6	31.09	28.82	1
202205012000	44682.83333	11.273	0.186	6	11.331	10.934	1	29.691	0.809	6	31.251	29.611	1
202205012100	44682.875	11.069	0.115	6	11.289	10.966	1	30.741	0.536	6	31.151	29.701	1
202205012200	44682.91667	11.051	0.065	6	11.134	10.978	1	30.266	0.695	6	31.121	29.501	1
202205012300	44682.95833	11.176	0.053	6	11.273	11.128	1	29.296	0.387	6	29.611	28.591	1
202205020000	44683	11.275	0.012	6	11.282	11.253	1	28.461	0.062	6	28.571	28.391	1
202205020100	44683.04167	11.455	0.086	6	11.482	11.252	1	28.216	0.112	6	28.361	28.081	1
202205020200	44683.08333	11.434	0.014	6	11.46	11.42	1	28.041	0.075	6	28.151	27.961	1
202205020300	44683.125	11.508	0.051	6	11.569	11.446	1	27.931	0.038	6	28.011	27.911	1
202205020400	44683.16667	11.563	0.012	6	11.569	11.536	1	27.896	0.078	6	27.951	27.751	1
202205020500	44683.20833	11.498	0.052	6	11.577	11.445	1	27.766	0.041	6	27.801	27.691	1
202205020600	44683.25	11.377	0.03	6	11.444	11.36	1	28.542	0.3	6	28.562	27.802	1
202205020700	44683.29167	11.371	0.047	6	11.419	11.283	1	28.597	0.255	6	29.092	28.442	1
202205020800	44683.33333	11.28	0.082	6	11.342	11.157	1	29.172	0.383	6	29.882	29.052	1
202205020900	44683.375	11.228	0.099	6	11.34	11.112	1	29.577	0.519	6	30.222	29.082	1
202205021000	44683.41667	11.299	0.148	6	11.536	11.16	1	30.092	0.273	6	30.252	29.522	1
202205021100	44683.45833	11.761	0.1	6	11.864	11.614	1	29.087	0.283	6	29.472	28.742	1
202205021200	44683.5	11.968	0.089	6	12.106	11.882	1	28.462	0.129	6	28.642	28.292	1
202205021300	44683.54167	12.256	0.115	6	12.43	12.123	1	28.352	0.098	6	28.482	28.232	1
202205021400	44683.58333	12.685	0.094	6	12.76	12.519	1	28.412	0.059	6	28.462	28.292	1
202205021500	44683.625	12.454	0.11	6	12.611	12.344	1	28.248	0.066	6	28.393	28.223	1
202205021600	44683.66667	12.319	0.049	6	12.358	12.239	1	28.038	0.018	6	28.073	28.023	1
202205021700	44683.70833	12.239	0.017	6	12.254	12.208	1	27.983	0.06	6	28.073	27.883	1
202205021800	44683.75	11.809	0.214	6	12.203	11.753	1	28.378	0.246	6	28.463	27.943	1
202205021900	44683.79167	11.668	0.034	6	11.714	11.627	1	28.998	0.228	6	29.173	28.663	1
202205022000	44683.83333	11.557	0.184	6	11.738	11.286	1	30.108	0.85	6	31.033	29.003	1
202205022100	44683.875	11.359	0.123	6	11.518	11.226	1	30.798	0.519	6	31.333	30.063	1
202205022200	44683.91667	11.254	0.061	6	11.341	11.183	1	31.008	0.22	6	31.403	30.833	1
202205022300	44683.95833	11.41	0.06	6	11.422	11.267	1	29.883	0.414	6	30.863	29.783	1
202205030000	44684	11.502	0.057	6	11.581	11.436	1	29.308	0.288	6	29.683	28.903	1
202205030100	44684.04167	11.674	0.189	6	11.983	11.496	1	28.764	0.193	6	29.044	28.544	1
202205030200	44684.08333	11.991	0.028	6	12.021	11.94	1	28.459	0.017	6	28.494	28.444	1
202205030300	44684.125	11.919	0.055	6	12.025	11.885	1	28.389	0.101	6	28.484	28.254	1
202205030400	44684.16667	12.159	0.057	6	12.21	12.063	1	28.189	0.034	6	28.244	28.154	1
202205030500	44684.20833	11.995	0.033	6	12.073	11.984	1	28.134	0.035	6	28.184	28.094	1
202205030600	44684.25	11.886	0.118	5	11.905	11.639	1	27.974	0.361	5	28.714	27.934	1
202205030700	44684.29167	11.663	0.018	6	11.669	11.622	1	28.729	0.075	6	28.904	28.704	1
202205030800	44684.33333	11.554	0.075	6	11.584	11.415	1	29.369	0.362	6	30.044	29.124	1
202205030900	44684.375	11.375	0.036	6	11.414	11.321	1	30.399	0.209	6	30.664	30.164	1
202205031000	44684.41667	11.342	0.033	6	11.391	11.297	1	30.669	0.216	6	30.914	30.294	1
202205031100	44684.45833	11.525	0.063	6	11.601	11.42	1	29.99	0.265	6	30.415	29.635	1
202205031200	44684.5	11.772	0.049	6	11.788	11.658	1	28.995	0.128	6	29.255	28.945	1
202205031300	44684.54167	11.933	0.109	6	12.108	11.832	1	29.04	0.205	6	29.355	28.915	1
202205031400	44684.58333	12.092	0.047	6	12.189	12.063	1	29	0.101	6	29.055	28.775	1
202205031500	44684.625	12.24	0.032	6	12.28	12.189	1	28.725	0.088	6	28.815	28.575	1
202205031600	44684.66667	12.407	0.086	6	12.469	12.261	1	28.52	0.1	6	28.705	28.425	1
202205031700	44684.70833	12.385	0.056	6	12.495	12.382	1	28.195	0.405	6	28.505	27.515	1
202205031800	44684.75	12.263	0.071	6	12.361	12.19	1	27.61	0.211	6	27.855	27.365	1
202205031900	44684.79167	11.89	0.134	6	12.193	11.836	1	28.46	0.259	6	28.585	27.875	1
202205032000	44684.83333	11.8	0.026	6	11.847	11.79	1	29.556	0.545	6	29.626	28.526	1
202205032100	44684.875	11.727	0.096	6	11.802	11.606	1	29.741	0.262	6	30.196	29.446	1
202205032200	44684.91667	11.605	0.018	6	11.629	11.581	1	30.076	0.072	6	30.156	30.006	1
202205032300	44684.95833	11.551	0.024	6	11.601	11.536	1	30.146	0.179	6	30.286	29.796	1
202205040000	44685	11.673	0.057	6	11.768	11.62	1	29.566	0.298	6	29.746	28.976	1
202205040100	44685.04167	11.777	0.043	6	11.839	11.71	1	28.881	0.13	6	29.056	28.676	1
202205040200	44685.08333	11.833	0.025	6	11.854	11.784	1	28.706	0.049	6	28.746	28.626	1
202205040300	44685.125	11.903	0.066	6	12.004	11.841	1	28.566	0.072	6	28.636	28.466	1
202205040400	44685.16667	12.115	0.08	6	12.226	12.026	1	28.431	0.038	6	28.506	28.406	1
202205040500	44685.20833	12.248	0.042	6	12.288	12.175	1	28.391	0.097	6	28.456	28.206	1
202205040600	44685.25	12.042	0.073	6	12.14	11.976	1	28.012	0.037	6	28.037	27.937	1
202205040700	44685.29167	11.986	0.014	6	12.011	11.974	1	28.067	0.03	6	28.127	28.047	1
202205040800	44685.33333	11.85	0.097	6	11.904	11.662	1	28.502	0.377	6	29.167	28.257	1
202205040900	44685.375	11.652	0.315	5	12.245	11.584	4.167	29.187	0.314	5	29.587	28.827	4.167
202205041000	44685.41667	11.481	0.077	6	11.619	11.414	1	30.352	0.249	6	30.617	30.017	1
202205041100	44685.45833	11.724	0.241	6	12.118	11.512	1	30.237	0.489	6	30.617	29.307	1
202205041200	44685.5	12.148	0.059	6	12.203	12.06	1	29.217	0.046	6	29.297	29.157	1
202205041300	44685.54167	12.576	0.289	6	12.908	12.199	1	29.132	0.117	6	29.327	29.027	1
202205041400	44685.58333	13.097	0.076	6	13.208	13.028	1	28.741	0.085	6	28.896	28.686	1
202205041500	44685.625	13.083	0.118	6	13.277	12.986	1	28.576	0.048	6	28.636	28.516	1
202205041600	44685.66667	13.087	0.139	6	13.131	12.827	1	28.561	0.046	6	28.646	28.526	1
202205041700	44685.70833	12.88	0.067	6	12.928	12.741	1	28.486	0.035	6	28.496	28.406	1
202205041800	44685.75	12.684	0.014	6	12.697	12.66	1	28.101	0.089	6	28.246	28.016	1
202205041900	44685.79167	12.545	0.172	6	12.65	12.242	1	28.211	0.114	6	28.406	28.126	1
202205042000	44685.83333	12.248	0.072	6	12.317	12.152	1	28.446	0.117	6	28.646	28.376	1
202205042100	44685.875	12.149	0.115	6	12.168	11.871	1	29.326	0.298	6	30.046	29.276	1
202205042200	44685.91667	11.866	0.14	6	11.979	11.611	1	29.766	0.51	6	30.596	29.306	1
202205042300	44685.95833	11.648	0.032	6	11.707	11.635	1	30.466	0.135	6	30.516	30.226	1
202205050000	44686	11.89	0.067	6	11.91	11.733	1	29.346	0.255	6	29.976	29.326	1
202205050100	44686.04167	11.982	0.058	6	12.113	11.951	1	28.96	0.095	6	29.155	28.905	1
202205050200	44686.08333	12.357	0.108	6	12.408	12.159	1	28.74	0.12	6	28.915	28.645	1
202205050300	44686.125	12.366	0.04	6	12.412	12.312	1	28.63	0.021	6	28.635	28.585	1
202205050400	44686.16667	12.367	0.072	6	12.515	12.302	1	28.53	0.036	6	28.565	28.465	1
202205050500	44686.20833	12.633	0.048	6	12.69	12.554	1	28.43	0.023	6	28.465	28.395	1
202205050600	44686.25	12.449	0.024	6	12.492	12.429	1	28.325	0.047	6	28.355	28.235	1
202205050700	44686.29167	12.21	0.141	6	12.367	12.043	1	28.555	0.227	6	28.905	28.365	1
202205050800	44686.33333	11.99	0.078	6	12.108	11.917	1	29.065	0.259	6	29.375	28.735	1
202205050900	44686.375	11.696	0.204	6	11.919	11.485	1	30.275	0.774	6	31.095	29.385	1
202205051000	44686.41667	11.627	0.235	6	11.953	11.4	1	30.65	0.745	6	31.585	29.805	1
202205051100	44686.45833	11.436	0.065	6	11.542	11.357	1	31.6	0.164	6	31.755	31.285	1
202205051200	44686.5	12.018	0.183	6	12.209	11.742	1	30.334	0.362	6	30.974	30.144	1
202205051300	44686.54167	12.306	0.165	6	12.524	12.105	1	29.669	0.402	6	30.194	29.164	1
202205051400	44686.58333	12.946	0.401	6	13.45	12.557	1	29.124	0.073	6	29.184	28.994	1
202205051500	44686.625	13.378	0.108	6	13.512	13.2	1	29.059	0.053	6	29.114	28.984	1
202205051600	44686.66667	13.497	0.259	6	13.972	13.266	1	28.889	0.048	6	28.934	28.824	1
202205051700	44686.70833	13.263	0.112	6	13.357	13.085	1	28.679	0.116	6	28.904	28.614	1
202205051800	44686.75	13.237	0.127	6	13.374	13.072	1	28.589	0.01	6	28.604	28.584	1
202205051900	44686.79167	12.977	0.075	6	13.115	12.912	1	28.574	0.046	6	28.614	28.484	1
202205052000	44686.83333	12.323	0.127	6	12.621	12.281	1	29.149	0.164	6	29.204	28.764	1
202205052100	44686.875	12.183	0.108	6	12.309	12.043	1	29.509	0.235	6	29.754	29.214	1
202205052200	44686.91667	12.016	0.08	6	12.058	11.864	1	30.004	0.334	6	30.634	29.784	1
202205052300	44686.95833	11.788	0.048	6	11.872	11.765	1	30.918	0.209	6	30.993	30.533	1
202205060000	44687	11.864	0.101	6	12.072	11.812	1	30.603	0.352	6	30.843	29.953	1
202205060100	44687.04167	12.132	0.069	6	12.223	12.065	1	29.743	0.216	6	29.953	29.453	1
202205060200	44687.08333	12.472	0.227	6	12.762	12.254	1	29.253	0.146	6	29.403	29.023	1
202205060300	44687.125	12.674	0.055	6	12.757	12.591	1	28.868	0.049	6	28.933	28.803	1
202205060400	44687.16667	12.693	0.024	6	12.722	12.66	1	28.783	0.008	6	28.803	28.783	1
202205060500	44687.20833	12.982	0.18	6	13.177	12.727	1	28.733	0.034	6	28.783	28.693	1
202205060600	44687.25	13.03	0.166	6	13.275	12.847	1	28.588	0.075	6	28.663	28.483	1
202205060700	44687.29167	12.7	0.121	6	12.942	12.645	1	28.583	0.035	6	28.633	28.543	1
202205060800	44687.33333	12.516	0.101	6	12.672	12.366	1	28.863	0.175	6	29.153	28.633	1
202205060900	44687.375	12.268	0.015	6	12.278	12.236	1	29.453	0.023	6	29.493	29.433	1
202205061000	44687.41667	11.927	0.178	6	12.128	11.723	1	30.472	0.638	6	31.232	29.862	1
202205061100	44687.45833	11.814	0.153	6	12.117	11.759	1	31.067	0.403	6	31.292	30.302	1
202205061200	44687.5	12.006	0.178	6	12.271	11.814	1	31.032	0.156	6	31.232	30.862	1
202205061300	44687.54167	12.391	0.215	6	12.804	12.282	1	30.522	0.087	6	30.702	30.492	1
202205061400	44687.58333	12.78	0.131	6	13.035	12.656	1	30.037	0.337	6	30.432	29.672	1
202205061500	44687.625	14.273	0.373	6	14.485	13.449	1	29.407	0.115	6	29.662	29.362	1
202205061600	44687.66667	14.046	0.215	6	14.32	13.732	1	29.347	0.198	6	29.452	28.942	1
202205061700	44687.70833	13.491	0.07	6	13.6	13.414	1	28.872	0.087	6	29.072	28.832	1
202205061800	44687.75	13.466	0.054	6	13.55	13.416	1	28.687	0.107	6	28.932	28.662	1
202205061900	44687.79167	13.22	0.026	6	13.26	13.192	1	28.722	0.037	6	28.792	28.712	1
202205062000	44687.83333	13.152	0.191	6	13.188	12.756	1	28.862	0.176	6	29.222	28.752	1
202205062100	44687.875	12.633	0.029	6	12.681	12.599	1	29.416	0.051	6	29.511	29.361	1
202205062200	44687.91667	12.345	0.14	6	12.605	12.21	1	30.026	0.316	6	30.401	29.491	1
202205062300	44687.95833	12.213	0.091	6	12.317	12.09	1	30.456	0.276	6	30.811	30.171	1
202205070000	44688	12.034	0.091	6	12.222	11.964	1	30.966	0.253	6	31.141	30.441	1
202205070100	44688.04167	12.274	0.134	6	12.376	12.065	1	30.236	0.34	6	30.821	30.041	1
202205070200	44688.08333	12.419	0.084	6	12.602	12.365	1	29.991	0.215	6	30.081	29.491	1
