time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
62.98675,0,34712.4139,65012.5022,5551.232374,302.3618055,2.615136843,1000,0.561286561,0.024060772,0
63.09597,0.00043145,34712.4139,65012.5022,4950.980294,347.3832474,3.401470822,1000,0.705662651,0.027383507,0
63.20513,0.0008629,34712.18161,65012.13862,6051.464454,273.1962788,3.053551772,1000,0.474171699,0.014567372,0
63.31432,0.00129435,34711.94932,65011.77504,6251.562891,267.1330454,1.636294615,1000,0.531706632,0.035128421,0
63.4234,0.0017258,34711.71704,65011.41146,6301.588,268.9825972,2.270706675,1000,0.578051965,0.027855865,0
63.5326,0.002157251,34711.48475,65011.04787,5301.123838,311.2426347,2.360907333,1000,0.625552996,0.033789534,0
63.64167,0.002588701,34711.25246,65010.68429,5551.232374,305.301508,1.494354944,1000,0.646149007,0.024060772,0
63.75086,0.003020151,34711.02017,65010.32071,6301.588,262.781891,2.270706675,1000,0.510033608,0.041784131,0
63.86009,0.003451601,34710.78788,65009.95713,5701.299896,294.9537775,2.900736764,1000,0.56376731,0.10898244,0
63.96923,0.003883051,34710.5556,65009.59355,5551.232374,303.3415946,1.867947416,1000,0.646149007,0.080204818,0
64.07837,0.004314501,34710.32331,65009.22997,5951.416437,280.962503,1.382513641,1000,0.483043928,0.022260003,0
64.18744,0.004745951,34710.09102,65008.86639,6401.63882,251.6807467,1.275145487,1000,0.473380346,0.034219034,0
64.29655,0.005177401,34709.85873,65008.5028,6051.464454,266.0192388,1.69640408,1000,0.563095788,0.036418867,0
64.4056,0.005608852,34709.62644,65008.13922,5051.020306,335.9081929,2.078077864,1000,0.609903199,0.053535508,0
64.51469,0.006040302,34709.39415,65007.77564,5301.123838,319.6424915,2.360907333,1000,0.52242419,0.059132394,0
64.62384,0.006471752,34709.16187,65007.41206,5151.061119,332.0962578,2.845306431,1000,0.695916798,0.03490476,0
64.73291,0.006903202,34708.92958,65007.04848,4200.705719,416.6784209,3.083311669,1000,0.807984152,0.011032031,0
64.842,0.007334652,34708.69729,65006.6849,6001.440346,278.9998843,2.054557377,1000,0.520448579,0.014702394,0
64.95115,0.007766102,34708.465,65006.32132,6901.904926,238.0617434,2.641187673,1000,0.471669581,0.031500715,0
65.06029,0.008197552,34708.23271,65005.95773,5851.36922,282.0316995,0.704434631,1000,0.596878794,0.022684448,0
