response,predictor,peakID,r2,p,n,slope,slope_std_err,intercept,intercept_std_err
NaCa_mean,T_mean,1,0.027173138142829067,0.05334853252284071,138,-0.010637864366991961,0.005457991728823661,1.6177198407947797,0.07067177336459952
NaCa_mean,T_mean,2,0.05159876753798165,0.008303933922154618,134,-0.013590299894245726,0.005071290223160863,1.659529938192431,0.06743673610317484
NaCa_mean,T_mean,3,0.031217243952813,0.04270225778444426,132,-0.011336213383021194,0.005538756296812542,1.6078755160421054,0.0661332579814331
NaCa_mean,T_mean,4,0.02182932956415551,0.08966809593152196,133,-0.008307239900309089,0.004858567314296361,1.572918142540845,0.06149633414082928
NaCa_mean,S_mean,1,0.0002749527055651013,0.8469336672603155,138,-0.002352185696000651,0.01216223633312437,1.5564532775417752,0.347727560269709
NaCa_mean,S_mean,2,0.005941911858326487,0.37601218094030253,134,-0.01143521573864175,0.012873604891724693,1.819973566478203,0.370598711857069
NaCa_mean,S_mean,3,0.005063860356061212,0.41746451097028436,132,-0.010279739137760823,0.012637674361075185,1.7735087563960517,0.35711948581984576
NaCa_mean,S_mean,4,0.00021026942360591327,0.8684244960768712,133,0.0018889840071677124,0.01138043615961001,1.421489637356058,0.32518306211237014
NaCa_mean,Chl_mean,1,0.1171041137978942,3.988162674791215e-05,138,-0.017736960421690637,0.004176172348337374,1.6323054850027212,0.041601290842529226
NaCa_mean,Chl_mean,2,0.11016746159843116,8.933886663678502e-05,134,-0.01491815189003608,0.0036902477903451476,1.6143218947942144,0.0387690557522184
NaCa_mean,Chl_mean,3,0.08386559237788394,0.0007570870488896449,132,-0.011999385579977468,0.003478363942748934,1.586889496798261,0.039436623089583185
NaCa_mean,Chl_mean,4,0.11424752522576143,6.919646803468664e-05,133,-0.012835787908004954,0.0031226238404741826,1.5866094045859875,0.03474856713165755
NaCa_mean,growth_mean,1,0.055373467455378966,0.005464171478992091,138,-0.0011647121069431419,0.00041250417248329745,1.560460806691908,0.03569028673693203
NaCa_mean,growth_mean,2,0.050171753369876004,0.009275458702681469,134,-0.0009650278342645467,0.00036546498627385737,1.5506382882280354,0.033475553815478704
NaCa_mean,growth_mean,3,0.06964670122871641,0.002231065666762395,132,-0.0018121813699354286,0.000580903055097985,1.5800684659883286,0.040307705107527875
NaCa_mean,growth_mean,4,0.053109271878565845,0.0076153591292922,133,-0.001028699558628627,0.0003795051414532666,1.5364516333971385,0.03187178919303629
MgCa_mean,T_mean,1,0.00012314129021540055,0.8972173219861437,138,0.0006850900944158876,0.005293581974044431,0.12650426243544774,0.0685429447576732
MgCa_mean,T_mean,2,0.00410837738733949,0.4618658911935579,134,-0.0035835785287554435,0.004856247747361901,0.18258697261240558,0.06457715559145465
MgCa_mean,T_mean,3,0.0006945071533774883,0.764214518359291,132,0.001748501852341061,0.005817082139103973,0.11461820295167982,0.06945649405552279
MgCa_mean,T_mean,4,0.00041493082099752776,0.8159763093235871,133,0.0012082879666754087,0.005181515899024089,0.11066130838392421,0.0655839906024956
MgCa_mean,S_mean,1,0.011526736893136103,0.2100675705321884,138,0.014569917206367253,0.01156956160653464,-0.2806274007233411,0.3307825403682892
MgCa_mean,S_mean,2,0.0028884859727569268,0.537395317434551,134,0.007450557588445612,0.012048654320232015,-0.07567966187036138,0.3468504593891481
MgCa_mean,S_mean,3,0.0018942035936608814,0.6202374572748963,132,0.006501470013528162,0.01308925258453838,-0.049452095236851235,0.36988032918097313
MgCa_mean,S_mean,4,0.025288968630523434,0.06750339149018246,133,0.02185505113101334,0.01185464521094528,-0.4980438086398766,0.3387330481789753
MgCa_mean,Chl_mean,1,0.14972510038328357,2.7568666934430757e-06,138,-0.01918676319303731,0.00392070922167584,0.2893647344662529,0.039056473496564215
MgCa_mean,Chl_mean,2,0.1335089767809129,1.4175210773761042e-05,134,-0.01534673420731333,0.003402951865968606,0.26458345575192155,0.035750778297062066
MgCa_mean,Chl_mean,3,0.10408661973583089,0.0001614141471678528,132,-0.013823612585250625,0.003557012871541308,0.2524630680907415,0.04032832051177216
MgCa_mean,Chl_mean,4,0.12820413350996196,2.3214765995813604e-05,133,-0.014344856057772803,0.0032682625367464087,0.2492198338490454,0.036369234965159404
MgCa_mean,growth_mean,1,0.021659327196540512,0.08497254168716382,138,-0.000696869567296495,0.00040161009266490564,0.17729107475053388,0.034747719707578714
MgCa_mean,growth_mean,2,0.026339684803892927,0.06099368448951695,134,-0.0006534131522391297,0.00034577958929763087,0.17829659201046455,0.03167242741320571
MgCa_mean,growth_mean,3,0.03534147879245286,0.030879635147664983,132,-0.0013349061895056198,0.0006116789204639182,0.2046327164588983,0.0424431810612389
MgCa_mean,growth_mean,4,0.019169464561521576,0.11198820693615413,133,-0.0006520102454343091,0.000407484196446814,0.16359691437794538,0.0342215400795721
MnCa_mean,T_mean,1,0.0013547909155058324,0.6682126464716569,138,-0.004021863280363845,0.009363265159150234,-1.6271378910583287,0.12123846758242225
MnCa_mean,T_mean,2,0.008200273765064714,0.298073738816146,134,-0.009311822753797251,0.008913444229285099,-1.5495636513305484,0.11852872933902267
MnCa_mean,T_mean,3,0.0007269521551455105,0.7589348020303655,132,0.0031207710111985686,0.010147975259413666,-1.705059833202195,0.12116775497167506
MnCa_mean,T_mean,4,3.878921523758905e-06,0.9820499281976784,133,0.00020132470562423538,0.008931102752466507,-1.6972926020466128,0.11304362862188776
MnCa_mean,S_mean,1,0.004442466410661816,0.4373216188980089,138,0.01600889281859595,0.020550053078344604,-2.132077307434831,0.5875416021051859
