file,specimen,treatment,peakID,peak_interval,depth
B323_int_peakid.csv,B323,intertidal,peakID_2,peak 5,3383.651219
B323_int_peakid.csv,B323,intertidal,peakID_2,interval 4,3483.921263
B323_int_peakid.csv,B323,intertidal,peakID_2,peak 4,5626.230333
B323_int_peakid.csv,B323,intertidal,peakID_2,interval 3,5810.02712
B323_int_peakid.csv,B323,intertidal,peakID_2,peak 3,8020.895124999999
B323_int_peakid.csv,B323,intertidal,peakID_2,peak 2,8242.620716
B323_int_peakid.csv,B323,intertidal,peakID_2,interval 1,8751.931224
B323_int_peakid.csv,B323,intertidal,peakID_2,peak 1,10190.02364
B323_int_peakid.csv,B323,intertidal,peakID_2,interval 0,10824.74807
B323_int_peakid.csv,B323,intertidal,peakID_3,interval 7,0.0
B323_int_peakid.csv,B323,intertidal,peakID_3,peak 7,800.247346
B323_int_peakid.csv,B323,intertidal,peakID_3,interval 6,1087.000274
B323_int_peakid.csv,B323,intertidal,peakID_3,peak 6,1645.51538
B323_int_peakid.csv,B323,intertidal,peakID_3,interval 5,1817.117219
B323_int_peakid.csv,B323,intertidal,peakID_3,peak 5,3383.651219
B323_int_peakid.csv,B323,intertidal,peakID_3,peak 4,3483.921263
B323_int_peakid.csv,B323,intertidal,peakID_3,interval 3,4141.5296100000005
B323_int_peakid.csv,B323,intertidal,peakID_3,peak 3,5626.230333
B323_int_peakid.csv,B323,intertidal,peakID_3,interval 2,5810.02712
B323_int_peakid.csv,B323,intertidal,peakID_3,peak 2,7977.129581
B323_int_peakid.csv,B323,intertidal,peakID_3,interval 1,8077.192898
B323_int_peakid.csv,B323,intertidal,peakID_3,peak 1,10190.02364
B323_int_peakid.csv,B323,intertidal,peakID_3,interval 0,10824.74807
B323_int_peakid.csv,B323,intertidal,peakID_4,interval 7,0.0
B323_int_peakid.csv,B323,intertidal,peakID_4,peak 7,800.247346
B323_int_peakid.csv,B323,intertidal,peakID_4,interval 6,1087.000274
B323_int_peakid.csv,B323,intertidal,peakID_4,peak 6,1645.51538
B323_int_peakid.csv,B323,intertidal,peakID_4,interval 5,1817.117219
B323_int_peakid.csv,B323,intertidal,peakID_4,peak 5,3383.651219
B323_int_peakid.csv,B323,intertidal,peakID_4,peak 4,3483.921263
B323_int_peakid.csv,B323,intertidal,peakID_4,interval 3,4141.5296100000005
B323_int_peakid.csv,B323,intertidal,peakID_4,peak 3,7977.129581
B323_int_peakid.csv,B323,intertidal,peakID_4,peak 2,8077.192898
B323_int_peakid.csv,B323,intertidal,peakID_4,interval 1,8751.931224
B323_int_peakid.csv,B323,intertidal,peakID_4,peak 1,10190.02364
B323_int_peakid.csv,B323,intertidal,peakID_4,interval 0,10824.74807
B325_int_peakid.csv,B325,intertidal,peakID_1,interval 7,0.444372
B325_int_peakid.csv,B325,intertidal,peakID_1,peak 7,579.7896999999999
B325_int_peakid.csv,B325,intertidal,peakID_1,interval 6,994.603362
B325_int_peakid.csv,B325,intertidal,peakID_1,peak 6,2286.01539
B325_int_peakid.csv,B325,intertidal,peakID_1,interval 5,2488.900595
B325_int_peakid.csv,B325,intertidal,peakID_1,peak 5,3585.744086
B325_int_peakid.csv,B325,intertidal,peakID_1,interval 4,3685.722874
B325_int_peakid.csv,B325,intertidal,peakID_1,peak 4,4245.074213999999
B325_int_peakid.csv,B325,intertidal,peakID_1,interval 3,4548.360144
