Element,GR_slope,GR_slope_se,T_slope,T_slope_se,S_slope,S_slope_se,Chl_slope,Chl_slope_se,Intercept,R_squared,P_value,Std_err,RSE,peakID
NaCa_mean,-0.08427249764278191,0.04565809581150293,-0.2695500653654469,0.0776543032368796,0.08881765591225514,0.07388853786942569,-0.2253014214604293,0.04291443141949033,2.0816681711721685e-17,0.09170022554299362,0.0654869051672337,0.04565809581150293,2123481646596949.0,All
MgCa_mean,-0.08468246771434629,0.04623338842643998,-0.1958886430378214,0.07863274849124792,0.06007445012808914,0.07481953443004152,-0.20921184725812247,0.04345515382656968,-4.85722573273506e-17,0.06866684507077381,0.06756552064319399,0.04623338842643998,-776474668525018.8,All
MnCa_mean,-0.09309836184699688,0.046323840301328724,-0.17652066220431323,0.07878658708648748,0.05358958008438296,0.07496591278122527,-0.20322414400087915,0.04354017031078099,-2.42861286636753e-17,0.06501912475196114,0.04496431006556596,0.046323840301328724,-4001110859526295.5,All
SrCa_mean,0.14072817260427262,0.038441997339100385,0.5537248395507472,0.06538131880764382,-0.028150275643742433,0.062210719165622215,0.2453293847160392,0.03613195927503901,-6.591949208711867e-17,0.3561191558609177,0.00027653744157282294,0.038441997339100385,-387372478945290.9,All
BaCa_mean,-0.06230552644458523,0.046848846613057875,-0.1545999959930856,0.07967950648243871,0.05776165011445966,0.0758155309717437,-0.17528733201377683,0.04403362819506323,3.8163916471489756e-17,0.04370601798196316,0.1841123543495633,0.046848846613057875,2360433263670349.5,All
NaCa_mean,-0.07765270184069291,0.10115881955706271,-0.3374522977837252,0.17116348410347573,0.10115444800149143,0.1544516060391158,-0.31755913028416616,0.1109949909320821,0.03278924756279609,0.10644943624718362,0.444066780342503,0.10115881955706271,3.7434846218034497,1
MgCa_mean,-0.07177887030363189,0.09183845093876798,-0.22237441044783063,0.15539316597579012,0.058386518186696094,0.1402210534459219,-0.26358541067191504,0.1007683568649682,0.0041237216691297485,0.0801048609277345,0.43585199751545656,0.09183845093876798,45.34859322247676,1
MnCa_mean,-0.07600357200781775,0.09384020322985845,-0.2630697261636159,0.15878018549574296,0.07266226140489221,0.14327737475932947,-0.27330064166003126,0.10296474941255551,0.009429358816644473,0.08979182992069068,0.41942973588052257,0.09384020322985845,17.110208331425884,1
SrCa_mean,0.13832599323911443,0.07633483244590074,0.6226522134482796,0.12916062027122766,-0.0065879070615434965,0.11654977311538843,0.27576778600472673,0.08375724501564931,-0.05990846820608271,0.4098858710719715,0.07222737713254075,0.07633483244590074,-2.4068426001067866,1
BaCa_mean,-0.039167841244647866,0.08901474898177145,-0.1717510217699087,0.15061538518370907,0.04813775935105118,0.1359097605290656,-0.21390940103252606,0.09767009242807512,-0.011546192899197394,0.051324034090232784,0.6606403323810046,0.08901474898177145,-7.423487835621114,1
