depth,proxy_filtered,peak
98.325649,0.315761732,
98.77056200000001,0.178035648,
99.215474,0.257139588,
99.660387,0.04629358,
100.10529899999999,0.138881852,
100.550212,0.362227338,
100.995124,0.173720526,
101.44003599999999,0.068165914,
101.884949,0.301992327,
102.329861,0.257461767,
102.774774,0.13606018,
103.21968600000001,0.38619574,
103.664599,0.115682011,
104.109511,0.597112454,
104.55442400000001,0.119680504,
104.999336,0.275704479,
105.444248,0.092587531,
105.889161,0.0,
106.334073,0.357001077,
106.778986,0.165421364,
107.22389799999999,0.156260063,
107.668811,0.193095553,
108.113723,0.231888985,
108.558636,0.362227338,
109.00354800000001,0.243862802,
109.44846,0.193095553,
109.893373,0.214282133,
110.338285,0.082643195,
110.783198,0.079786684,
111.22811,0.450563499,
111.673023,0.138881852,
112.117935,0.203688843,
112.56284799999999,0.30918655,
113.00776,0.0,
113.452672,0.18289637,
113.89758499999999,0.121930425,
114.342497,0.624759382,
114.78741000000001,0.321828496,
115.232322,0.263133724,
115.67723500000001,0.231628295,
116.122147,0.272666928,
116.567059,0.085711825,
117.011972,0.128568251,
117.456884,0.434674545,
117.901797,0.100662498,
118.34670899999999,0.128568251,
118.791622,0.115615591,
119.236534,0.150994352,
119.68144699999999,0.128568251,
120.12635900000001,0.150994352,
120.571271,0.185176543,
121.016184,0.115813221,
121.461096,0.0,
121.906009,0.050331048,
122.350921,0.340835024,
122.79583400000001,0.243862802,
123.240746,0.07729571,
123.685659,0.042855741,
124.13057099999999,0.144889197,
124.575483,0.077121032,
125.020396,0.18289637,
125.465308,0.092587531,
125.91022099999999,0.247933551,
126.35513300000001,0.152140403,
126.800046,0.07462773,
127.244958,0.138881852,
127.68987000000001,0.110280468,
128.134783,0.186571563,
128.579695,0.243862802,
129.024608,0.267055608,
129.46952000000002,0.272666928,
129.914433,0.180728632,
130.359345,0.204499378,
130.804258,0.248532473,
131.24917,0.386918648,
131.69408199999998,0.2461976375,
132.13899500000002,0.263133724,
132.583907,0.157878972,
133.02882,0.386918648,
133.473732,0.185176543,
133.918645,0.03212129,
134.363557,0.057906379,
134.80847,0.357001077,
135.25338200000002,0.150994352,
135.698294,0.145501577,
136.143207,0.057906379,
136.588119,0.055140014,
137.033032,0.1025312095,
137.47794399999998,0.039893182,
137.92285700000002,0.289780712,
138.367769,0.041321432,
138.812682,0.115813221,
139.257594,0.275704479,
139.702506,0.089249198,
140.14741899999999,0.039893182,
140.59233099999997,0.068165914,
141.03724400000002,0.10514348,
141.482156,0.272666928,
141.927069,0.30918655,
142.371981,0.07462773,
142.816893,0.231628295,
143.26180599999998,0.050331048,
143.70671800000002,0.257461767,
144.151631,0.231888985,
144.596543,0.499468971,
145.041456,0.132165041,
145.486368,0.165287712,
145.93128099999998,0.178035648,
146.376193,0.079786684,
146.82110500000002,0.105252227,
147.266018,0.154243298,
147.71093,0.267055608,
148.155843,0.1725727735,
148.600755,0.248532473,
149.045668,0.269929011,
149.49058000000002,0.426765024,
149.935493,0.173720526,
150.380405,0.171425021,
150.82531699999998,0.123965288,
151.27023,0.128568251,
151.715142,0.337603858,
152.160055,0.066081992,
152.60496700000002,0.385834524,
153.04988,0.099123384,
153.494792,0.0,
153.939705,0.357001077,
154.384617,0.304829721,
154.82952899999998,0.115813221,
155.27444200000002,0.068165914,
155.719354,0.133526202,
156.164267,0.193095553,
156.60917899999998,0.315761732,
157.054092,0.251659266,
157.49900399999999,0.140191868,
157.943916,0.211152833,
158.38882900000002,0.072290585,
158.833741,0.044508378,
159.278654,0.357001077,
159.723566,0.193095553,
160.168479,0.136332373,
160.613391,0.19721107999999998,
161.05830400000002,0.434674545,
161.503216,0.210506137,
161.948128,0.201326607,
162.39304099999998,0.231888985,
162.837953,0.115813221,
163.282866,0.193095553,
163.727778,0.221197561,
164.17269100000001,0.20591637200000001,
164.617603,0.231888985,
165.062516,0.173720526,
165.507428,0.150994352,
165.95234,0.385834524,
166.397253,0.128568251,
166.842165,0.055140014,
167.287078,0.289536527,
167.73199,0.068165914,
168.17690299999998,0.042855741,
168.621815,0.386918648,
169.066727,0.085711825,
169.51164,0.055140014,
169.95655200000002,0.257461767,
170.401465,0.210506137,
170.846377,0.07462773,
171.29129,0.1956173845,
171.736202,0.289780712,
172.181115,0.115813221,
172.626027,0.231366798,
173.070939,0.40535438,
173.515852,0.115813221,
173.96076399999998,0.180728632,
174.405677,0.150994352,
174.850589,0.133526202,
175.295502,0.22254545,
175.74041400000002,0.048227965,
176.185327,0.100662498,
176.630239,0.142260277,
177.07515099999998,0.052625903,
177.52006400000002,0.091283511,
177.964976,0.463783536,
178.409889,0.487733407,
